"","week_canton","ndvi_lag_8","ndvi_lag_7","ndvi_lag_6","ndvi_lag_5","ndvi_lag_4","ndvi_lag_3","ndvi_lag_2","ndvi_lag_1"
"2213","2020-35-111",0.144733153869045,0.116231166258284,0.21328151025264,0.453593443958919,0.618220113156262,0.586545389606934,0.5432,0.70607034858833
"2214","2020-35-607",0.737360071806173,0.747209079334647,0.75715680103417,0.752848826162508,0.78551144737386,0.736309213699464,0.7441,0.747294127366385
"2215","2020-36-201",0.864453770633933,0.859536528683829,0.857151484455497,0.806045346635359,0.684168935931755,0.5765,0.657872964636794,0.803228704114255
"2216","2020-36-205",0.753173313658406,0.754270191144297,0.764926614636277,0.776930269332803,0.765994613045032,0.7562,0.755618156015783,0.759137016466048
"2217","2020-36-203",0.657904292806422,0.668965292952765,0.689484759458904,0.697730592117504,0.697251087629124,0.6913,0.693522370716778,0.706294137725228
"2218","2020-36-215",0.698057514933038,0.632190367618696,0.528809359257146,0.576939117653795,0.611889173901513,0.8801,0.793842107423954,0.74465872839883
"2219","2020-36-214",0.576056274247714,0.359464499489725,0.289320993970439,0.280969213402138,0.393365958363934,0.5851,0.668863467757599,0.753267706240693
"2220","2020-36-206",0.698480570451252,0.729233474866638,0.75130281363756,0.773895699944793,0.760206572356566,0.7527,0.713490429742203,0.670108100333421
"2221","2020-36-209",0.801739997703742,0.792682715045455,0.812404519400337,0.825044807568863,0.790965116444583,0.7769,0.731963737070117,0.709275394981282
"2222","2020-36-207",0.640329549725891,0.656500792167964,0.67571764999913,0.697705179625732,0.700971657835089,0.7111,0.636649413380972,0.57749766083927
"2223","2020-36-208",0.754515899883374,0.730052667534723,0.738148657267823,0.727661676834691,0.69558415085741,0.6632,0.699140757171166,0.723460282300733
"2224","2020-36-216",0.839583990300345,0.775523624234379,0.705395177805833,0.651024785241742,0.739351649561147,0.8257,0.842852891903532,0.849466202877656
"2225","2020-36-210",0.0298830693788352,0.424181884056975,0.618437764276062,0.770772120320943,0.808929059764765,0.8836,0.805581240810553,0.749052319866337
"2226","2020-36-204",0.880672604091711,0.876780335974879,0.851817849919583,0.856971577429751,0.866254408972222,0.8752,0.876539534383771,0.860485101889529
"2227","2020-36-202",0.246936739193916,0.297134843257695,0.538355515139106,0.704562558016782,0.633308924030122,0.5592,0.709227748428892,0.836988943156341
"2228","2020-36-212",0.612396239689394,0.455754159645584,0.356072946038088,0.286444412079992,0.325671537330671,0.3588,0.382674215415664,0.300965457246617
"2229","2020-36-213",0.721590768247151,0.74509583476485,0.757214625834611,0.923567896764609,0.753926496048442,0.7078,0.758191522787686,0.788674688573747
"2230","2020-36-211",0.703117903148415,0.70765015016853,0.780460119425165,0.77414261474459,0.667916622746477,0.4287,0.574746141154343,0.711809237315326
"2231","2020-36-306",0.771948930270199,0.775037535762143,0.69408244530472,0.66811777048919,0.698068240915593,0.7826,0.529392962475658,0.366521683220272
"2232","2020-36-301",0.845661454744136,0.840070826614966,0.817131288871883,0.81812565660791,0.796720313381887,0.7949,0.795191040624269,0.782696392321766
"2233","2020-36-308",0.758940271791207,0.887270761647282,0.852431992421526,0.844458743093798,0.825153086734779,0.8044,0.815817915818879,0.809290154574338
"2234","2020-36-304",0.682121094227967,0.708923460193954,0.714870727707231,0.732584645519954,0.733346394770776,0.7474,0.738971085763027,0.731066779746312
"2235","2020-36-303",0.711685551060285,0.641708750148873,0.557198441997975,0.496194316974469,0.555082779652117,0.5993,0.572551222741721,0.548774154010684
"2236","2020-36-307",0.515032981997874,0.497514280012085,0.297894746364046,0.206276238136597,0.304274701843609,0.3937,0.554946267627895,0.702804410450453
"2237","2020-36-302",0.20352639064119,0.203364628008393,0.0770358350580237,0.546489116238085,0.786015677458356,0.8547,0.853910933765507,0.732177791462025
"2238","2020-36-305",0.413439091183632,0.478634810412085,0.594254510659999,0.684213259675745,0.725166291842464,0.8008,0.757620021517657,0.785812133884189
"2239","2020-36-507",0.800934729781783,0.761224418019343,0.70049140365484,0.694877134011939,0.763828688253742,0.8282,0.786735716947257,0.722412796715735
"2240","2020-36-504",0.71895129783301,0.709566119854034,0.707080504431477,0.711934043194834,0.734462812919565,0.772,0.761818219871616,0.751764167416829
"2241","2020-36-506",0.859177114036221,0.821686062805708,0.778512560878297,0.757105318953743,0.695216119008612,0.6292,0.690047436547851,0.746464574400165
"2242","2020-36-505",0.640106348021296,0.654576280091585,0.679399833189807,0.679367250162965,0.628874831237799,0.5973,0.64898525987121,0.705866086686502
"2243","2020-36-511",0.833186566241727,0.836778228088517,0.830621997972952,0.716340688818299,0.423640912917913,0.1257,0.402739379243249,0.657388599892347
"2244","2020-36-510",0.561409290623432,0.600393591927037,0.76621921971492,0.857681735447306,0.68501086542222,0.5445,0.50298087120352,0.801485899472239
"2245","2020-36-501",0.411307701453069,0.436349414498381,0.482454655593508,0.574855439556838,0.575540927042676,0.5788,0.641377547307209,0.707238753622059
"2246","2020-36-509",0.839709570098112,0.842068590490721,0.827062500775332,0.790222987870383,0.681497413682515,0.6425,0.70864344175971,0.769679765194615
"2247","2020-36-502",0.818066610408519,0.806596148103488,0.806387047401877,0.76419480691149,0.628354995776854,0.4913,0.607464504312995,0.708164643702757
"2248","2020-36-503",0.822889180953876,0.818205831353518,0.817479224818743,0.818538630613547,0.809392105616727,0.8213,0.816540894234114,0.800452581793483
"2249","2020-36-508",0.771460492619013,0.654165317568516,0.16033659715434,0.286621548690858,0.42743704924624,0.5094,0.728614138389488,0.784787808924539
"2250","2020-36-402",0.815930472631275,0.775243097781274,0.765402945528768,0.703843934559858,0.525483089493602,0.3259,0.513405947603929,0.685733605426194
"2251","2020-36-407",0.570619684199762,0.589761733519482,0.598141767457278,0.62402394509587,0.618416466280143,0.6096,0.609707865258188,0.615756545106685
"2252","2020-36-408",0.389318363667173,0.406675219729668,0.440066345854884,0.486324476282223,0.550864808283906,0.6157,0.591643853809973,0.554132350409519
"2253","2020-36-401",0.300673930973376,0.371037568576242,0.516262704988776,0.712591456261985,0.493682669740699,0.3654,0.508377904323018,0.791023640809586
"2254","2020-36-406",0.763119800438272,0.763908338754306,0.74088284757161,0.72973646276305,0.750049635923334,0.7647,0.761355751484645,0.75232387924674
"2255","2020-36-409",0.454042037558154,0.475356316489028,0.443875410699695,0.391295874645115,0.405701173894216,0.4188,0.467588172494543,0.499400463940934
"2256","2020-36-405",0.815919330517464,0.831066508667468,0.820876816925484,0.800520826939125,0.75794608908624,0.7286,0.72941601120822,0.73731505861011
"2257","2020-36-404",0.818672423778818,0.839103998216874,0.836366978532641,0.817724539446496,0.750739868508051,0.6932,0.705646200972269,0.728724617047044
"2258","2020-36-403",0.741552413868439,0.734472244768492,0.691605323274894,0.66792487746158,0.698782072135837,0.7383,0.714842003051857,0.688014622203728
"2259","2020-36-410",0.776083510056381,0.807131380482463,0.811618004833896,0.829132502082087,0.831918988926319,0.8293,0.808539885181376,0.830401434324784
"2260","2020-36-706",0.817516687895421,0.801590394897557,0.821339104006649,0.77977625640282,0.767989138649732,0.7711,0.800182690642961,0.824634559368389
"2261","2020-36-701",0.647591713992616,0.883149889763607,0.859759842327619,0.871535408858023,0.917628792555752,0.9728,0.891781300321567,0.925392606473876
"2262","2020-36-705",0.568715058035797,0.614613409112428,0.66204676966528,0.747997842612006,0.695633384669126,0.6667,0.616782814773674,0.580494606544874
"2263","2020-36-702",0.727701924872137,0.734282128463502,0.740708431815219,0.734225082164671,0.727832678984889,0.7241,0.713222915912726,0.69741684707894
"2264","2020-36-703",0.864778649446436,0.813107196073879,0.83447586887198,0.82861145981552,0.840187259372483,0.8658,0.852175657367145,0.839422464655674
"2265","2020-36-704",0.866903989362273,0.934125738248299,0.926431639746024,0.85037062145544,0.583805013895175,0.3319,0.57922036109893,0.799414184879855
"2266","2020-36-603",0.855832831259934,0.867330182037874,0.86892116074039,0.86977232243853,0.881364730714084,0.9198,0.917766929509162,0.86708232366632
"2267","2020-36-610",0.814931411099862,0.8034372142442,0.845255760960286,0.877213705845537,0.875310826614455,0.8721,0.871766946511791,0.875905105480538
"2268","2020-36-608",0.595434006345453,0.607206053326985,0.506759306809335,0.628252664244221,0.530483986386638,0.6486,0.69231547641305,0.762421701139014
"2269","2020-36-602",0.653143897951935,0.758697805328586,0.767997949499449,0.740021440890094,0.586649191787468,0.4558,0.61767810345113,0.775542636820403
"2270","2020-36-611",0.667000314707078,0.651344536412392,0.674912125080187,0.715073427557403,0.601817069381042,0.4877,0.464808835417767,0.575276376934218
"2271","2020-36-604",0.834975570185291,0.879749485324212,0.815743953154153,0.746748408875974,0.688079397897612,0.6676,0.669566240368303,0.727095293624957
"2272","2020-36-605",0.87399810664072,0.906154401687057,0.896439899395044,0.859663540969037,0.764507103461695,0.7148,0.646264720530913,0.711003256692135
"2273","2020-36-609",0.825710652547743,0.812687500947394,0.765156931936905,0.734278832463354,0.756152262996469,0.8861,0.893652087389251,0.895270666865261
"2274","2020-36-601",0.894403510092017,0.895763274148558,0.893492325704756,0.867499980237971,0.791973280580104,0.6776,0.804380782986896,0.878816200159071
"2275","2020-36-606",0.75955637101782,0.882563161710691,0.888474689736076,0.884073704081632,0.859938707504348,0.8822,0.878006123564947,0.86619954405255
"2276","2020-36-112",0.791773173668976,0.753328932436874,0.791719851396754,0.792217644235522,0.639285730838745,0.721,0.46447565451741,0.446223844894203
"2277","2020-36-110",0.643426241105345,0.683139681687276,0.407906200051419,0.606328330860417,0.62401513163176,0.6482,0.631736305697486,0.613504359189379
"2278","2020-36-106",0.780431694768209,0.828446379879565,0.829739079398036,0.815469395612904,0.755955175105541,0.7299,0.751473218030372,0.77715354143991
"2279","2020-36-118",0.347487653921608,0.522238936810921,0.587449801124782,0.627166264868423,0.440936915789597,0.3553,0.341319055537979,0.373841034935322
"2280","2020-36-103",0.875759640577705,0.859024339754533,0.83858188370624,0.818200767440044,0.798378899527223,0.7763,0.849824275403379,0.903174758137571
