"","precip_total","precip_min","precip_max","precip_mean","precip_median","week_canton"
"306",22.304526,0,11.539728,3.18636085714286,0,"2023-1-210"
"307",12.391041,0,12.391041,1.77014871428571,0,"2023-1-406"
"308",6.5227847,0,6.5227847,0.931826385714286,0,"2023-1-101"
"309",0,0,0,0,0,"2023-1-204"
"310",0,0,0,0,0,"2023-1-409"
"311",9.216554,0,9.216554,1.31665057142857,0,"2023-1-405"
"312",12.152696,0,12.152696,1.73609942857143,0,"2023-1-202"
"313",4.035576,0,4.035576,0.576510857142857,0,"2023-1-109"
"314",11.2831545,0,11.2831545,1.61187921428571,0,"2023-1-404"
"315",0,0,0,0,0,"2023-1-503"
"316",0,0,0,0,0,"2023-1-403"
"317",36.4007737,0,16.288101,5.20011052857143,0,"2023-1-410"
"318",12.044558,0,12.044558,1.72065114285714,0,"2023-1-212"
"319",0,0,0,0,0,"2023-1-703"
"320",0,0,0,0,0,"2023-1-704"
"321",12.009134,0,12.009134,1.71559057142857,0,"2023-1-105"
"322",0,0,0,0,0,"2023-1-113"
"323",19.9568293,0,12.021322,2.85097561428571,0,"2023-1-508"
"324",21.3368845,0,13.842052,3.04812635714286,0,"2023-1-305"
"325",0,0,0,0,0,"2023-1-116"
"326",22.319959,0,11.814507,3.18856557142857,0,"2023-1-213"
"327",21.9877054,0,14.68811,3.14110077142857,0,"2023-1-111"
"328",19.4880083,0,13.572912,2.78400118571429,0,"2023-1-211"
"329",0,0,0,0,0,"2024-1-507"
"330",0,0,0,0,0,"2024-1-112"
"331",0,0,0,0,0,"2024-1-201"
"332",5.3491473,0,5.3491473,0.7641639,0,"2024-1-110"
"333",10.546834,0,10.546834,1.50669057142857,0,"2024-1-306"
"334",9.503681,0,9.503681,1.35766871428571,0,"2024-1-106"
"335",3.9032671,0,3.9032671,0.557609585714286,0,"2024-1-205"
"336",6.160008,0,6.160008,0.880001142857143,0,"2024-1-504"
"337",12.205742,0,12.205742,1.74367742857143,0,"2024-1-402"
"338",4.178388,0,4.178388,0.596912571428571,0,"2024-1-407"
"339",23.440937,0,23.440937,3.34870528571429,0,"2024-1-603"
"340",0,0,0,0,0,"2024-1-505"
"341",9.676198,0,9.676198,1.382314,0,"2024-1-301"
"342",0,0,0,0,0,"2024-1-506"
"343",0,0,0,0,0,"2024-1-610"
"344",9.977525,0,9.977525,1.42536071428571,0,"2024-1-608"
"345",3.432773,0,3.432773,0.490396142857143,0,"2024-1-118"
"346",3.6720343,0,3.6720343,0.524576328571429,0,"2024-1-103"
"347",6.376254,0,6.376254,0.910893428571429,0,"2024-1-117"
"348",7.92036,0,7.92036,1.13148,0,"2024-1-308"
"349",5.642048,0,5.642048,0.806006857142857,0,"2024-1-102"
"350",0,0,0,0,0,"2024-1-602"
"351",4.272207,0,4.272207,0.610315285714286,0,"2024-1-408"
"352",0,0,0,0,0,"2024-1-611"
"353",10.285117,0,10.285117,1.46930242857143,0,"2024-1-108"
"354",NA,NA,NA,NA,NA,"2024-1-607"
"355",3.7939334,0,3.7939334,0.541990485714286,0,"2024-1-203"
"356",18.02637,0,18.02637,2.57519571428571,0,"2024-1-215"
"357",25.58534,0,25.58534,3.65504857142857,0,"2024-1-706"
"358",18.008554,0,18.008554,2.57265057142857,0,"2024-1-401"
"359",0,0,0,0,0,"2024-1-511"
"360",0,0,0,0,0,"2024-1-304"
"361",5.231917,0,5.231917,0.747416714285714,0,"2024-1-510"
"362",7.568065,0,7.568065,1.08115214285714,0,"2024-1-303"
"363",7.45444,0,7.45444,1.06492,0,"2024-1-120"
"364",0,0,0,0,0,"2024-1-501"
"365",0,0,0,0,0,"2024-1-701"
"366",11.261823,0,11.261823,1.60883185714286,0,"2024-1-214"
"367",23.64322,0,23.64322,3.37760285714286,0,"2024-1-705"
"368",3.432773,0,3.432773,0.490396142857143,0,"2024-1-115"
"369",0,0,0,0,0,"2024-1-604"
"370",0,0,0,0,0,"2024-1-107"
"371",12.992729,0,12.992729,1.85610414285714,0,"2024-1-114"
"372",0,0,0,0,0,"2024-1-509"
"373",5.2855315,0,5.2855315,0.755075928571429,0,"2024-1-206"
"374",0,0,0,0,0,"2024-1-502"
"375",12.9443865,0,12.9443865,1.84919807142857,0,"2024-1-307"
"376",0,0,0,0,0,"2024-1-209"
"377",0,0,0,0,0,"2024-1-605"
"378",0,0,0,0,0,"2024-1-207"
"379",29.6772917,0,23.968222,4.2396131,0,"2024-1-302"
"380",0,0,0,0,0,"2024-1-609"
"381",20.392603,0,20.392603,2.913229,0,"2024-1-702"
"382",7.477942,0,7.477942,1.06827742857143,0,"2024-1-208"
"383",4.8881,0,4.8881,0.6983,0,"2024-1-601"
"384",0,0,0,0,0,"2024-1-104"
"385",0,0,0,0,0,"2024-1-119"
"386",8.066209,0,8.066209,1.15231557142857,0,"2024-1-606"
"387",20.11229,0,20.11229,2.87318428571429,0,"2024-1-216"
"388",12.44693,0,12.44693,1.77813285714286,0,"2024-1-210"
"389",12.992729,0,12.992729,1.85610414285714,0,"2024-1-406"
"390",5.642048,0,5.642048,0.806006857142857,0,"2024-1-101"
"391",0,0,0,0,0,"2024-1-204"
"392",3.5516,0,3.5516,0.507371428571429,0,"2024-1-409"
"393",9.779498,0,9.779498,1.39707114285714,0,"2024-1-405"
"394",7.5163574,0,7.5163574,1.07376534285714,0,"2024-1-202"
"395",5.6139755,0,5.6139755,0.8019965,0,"2024-1-109"
"396",12.205742,0,12.205742,1.74367742857143,0,"2024-1-404"
"397",0,0,0,0,0,"2024-1-503"
"398",3.5516,0,3.5516,0.507371428571429,0,"2024-1-403"
"399",21.40421,0,21.40421,3.05774428571429,0,"2024-1-410"
"400",7.6946607,0,7.6946607,1.09923724285714,0,"2024-1-212"
"401",24.974638,0,24.974638,3.56780542857143,0,"2024-1-703"
"402",36.92165,0,36.92165,5.27452142857143,0,"2024-1-704"
"403",8.380108,0,8.380108,1.19715828571429,0,"2024-1-105"
"404",3.5516,0,3.5516,0.507371428571429,0,"2024-1-113"
"405",14.19445,0,14.19445,2.02777857142857,0,"2024-1-508"
"406",16.330353,0,16.330353,2.33290757142857,0,"2024-1-305"
"407",0,0,0,0,0,"2024-1-116"
"408",10.3418665,0,10.3418665,1.4774095,0,"2024-1-213"
"409",14.850132,0,14.850132,2.12144742857143,0,"2024-1-111"
"410",12.317572,0,12.317572,1.75965314285714,0,"2024-1-211"
"411",12.6301312,0,6.10044,1.80430445714286,1.3059382,"2025-1-507"
"412",107.909202,0,69.48308,15.4156002857143,10.527676,"2025-1-112"
"413",30.5763514,0,7.2113056,4.3680502,3.6056528,"2025-1-201"
"414",58.799056,0,19.92831,8.39986514285714,9.471218,"2025-1-110"
"415",161.574481,0,47.475197,23.0820687142857,23.737598,"2025-1-306"
"416",151.550999,0,72.86753,21.6501427142857,18.216883,"2025-1-106"
"417",25.1400942,0,10.163443,3.59144202857143,3.387814,"2025-1-205"
"418",55.3757873,0,39.49604,7.91082675714286,3.9699368,"2025-1-504"
"419",208.513897,0,73.16377,29.7876995714286,36.581886,"2025-1-402"
"420",36.6836149,0,11.230061,5.24051641428571,5.6150303,"2025-1-407"
"421",26.3897437,0,12.243648,3.76996338571429,1.9024477,"2025-1-603"
"422",0.91658765,0,0.91658765,0.130941092857143,0,"2025-1-505"
"423",141.479326,0,37.599464,20.2113322857143,18.799732,"2025-1-301"
"424",15.166226,0,8.168216,2.16660371428571,1.166335,"2025-1-506"
"425",51.177021,0,18.24009,7.311003,3.67421,"2025-1-610"
"426",32.1322548,1.7781714,9.525304,4.59032211428571,4.762652,"2025-1-608"
"427",36.066144,0,9.396348,5.15230628571429,5.656533,"2025-1-118"
"428",31.352442,0,11.373531,4.47892028571429,3.791177,"2025-1-103"
"429",83.405688,0,22.562832,11.9150982857143,15.041887,"2025-1-117"
"430",103.1116183,0,32.14966,14.7302311857143,10.716553,"2025-1-308"
"431",47.8554703,0,14.870812,6.83649575714286,9.056923,"2025-1-102"
"432",45.1688904,0,16.504213,6.45269862857143,6.0802317,"2025-1-602"
"433",40.214136,0,13.200978,5.74487657142857,6.600489,"2025-1-408"
"434",73.086704,0,24.547829,10.4409577142857,8.182609,"2025-1-611"
"435",124.644381,0,36.546,17.8063401428571,18.273,"2025-1-108"
"436",NA,NA,NA,NA,NA,"2025-1-607"
"437",42.2216103,0,12.274291,6.03165861428571,5.0075207,"2025-1-203"
"438",583.147945,0,232.36137,83.3068492857143,60.86286,"2025-1-215"
"439",420.069853,0,97.716125,60.009979,95.19111,"2025-1-706"
"440",372.866316,0,94.17319,53.2666165714286,47.086594,"2025-1-401"
"441",2.08921515,0,0.69640505,0.298459307142857,0,"2025-1-511"
"442",281.328066,0,113.919106,40.1897237142857,37.97303,"2025-1-304"
"443",73.234487,0,32.87289,10.4620695714286,0,"2025-1-510"
"444",78.4745665,0,23.220459,11.2106523571429,11.6102295,"2025-1-303"
"445",102.792379,6.130828,38.87347,14.6846255714286,9.718368,"2025-1-120"
"446",23.4344164,0,13.512956,3.34777377142857,0,"2025-1-501"
"447",313.13672,0,165.15762,44.7338171428571,0,"2025-1-701"
"448",305.230913,0,157.78152,43.6044161428571,0,"2025-1-214"
"449",417.419471,0,107.75539,59.631353,62.768867,"2025-1-705"
"450",36.066144,0,9.396348,5.15230628571429,5.656533,"2025-1-115"
"451",46.0825094,0,15.554929,6.58321562857143,5.184976,"2025-1-604"
"452",138.423577,0,61.316315,19.7747967142857,20.438772,"2025-1-107"
"453",170.223395,0,37.557293,24.3176278571429,23.020607,"2025-1-114"
"454",5.5350528,0,1.8450176,0.790721828571429,0,"2025-1-509"
"455",36.5925245,0,11.088776,5.2275035,5.3223505,"2025-1-206"
"456",3.3811776,0,1.6905888,0.483025371428571,0,"2025-1-502"
"457",212.116656,0,54.456936,30.3023794285714,27.228468,"2025-1-307"
"458",81.194335,0,42.32416,11.5991907142857,12.381061,"2025-1-209"
"459",81.8394408,0,17.389902,11.6913486857143,17.389902,"2025-1-605"
