"","tmax_min","tmax_max","tmax_mean","tmax_median","week_canton"
"7183",33.645767,34.34445,33.8557647142857,33.823658,"2023-15-605"
"7184",29.197908,29.779612,29.4743728571429,29.462431,"2023-15-207"
"7185",22.374147,23.70781,23.316982,23.488392,"2023-15-302"
"7186",33.88942,34.999744,34.4026032857143,34.439926,"2023-15-609"
"7187",31.777746,32.737457,32.2889314285714,32.22331,"2023-15-702"
"7188",25.81285,26.434637,26.1230444285714,26.0734,"2023-15-208"
"7189",33.851116,34.73225,34.3572575714286,34.40545,"2023-15-601"
"7190",30.089888,30.810894,30.3148904285714,30.234865,"2023-15-104"
"7191",27.207932,28.291676,27.8528277142857,27.8349,"2023-15-119"
"7192",33.04951,33.50251,33.281559,33.33794,"2023-15-606"
"7193",31.969458,32.73097,32.2676257142857,32.23374,"2023-15-216"
"7194",33.48891,34.17193,33.7855642857143,33.74194,"2023-15-210"
"7195",25.057642,25.85583,25.4816662857143,25.433601,"2023-15-406"
"7196",26.966497,27.731667,27.3740567142857,27.27565,"2023-15-101"
"7197",32.244873,32.702633,32.4305661428571,32.43475,"2023-15-204"
"7198",26.407778,27.191965,26.8195764285714,26.735764,"2023-15-409"
"7199",25.4591,26.208532,25.8490884285714,25.760431,"2023-15-405"
"7200",29.593512,30.224695,29.8874962857143,29.832565,"2023-15-202"
"7201",27.414417,28.144678,27.7710122857143,27.673525,"2023-15-109"
"7202",25.036312,25.722763,25.3943592857143,25.313128,"2023-15-404"
"7203",34.692623,35.36441,35.0282082857143,35.063236,"2023-15-503"
"7204",26.407778,27.191965,26.8195764285714,26.735764,"2023-15-403"
"7205",32.4511,33.328396,32.8351855714286,32.715946,"2023-15-410"
"7206",25.370615,26.055317,25.6938708571429,25.689049,"2023-15-212"
"7207",29.591942,31.050667,30.4344172857143,30.313545,"2023-15-703"
"7208",25.219452,26.346775,25.7251088571429,25.585882,"2023-15-704"
"7209",27.145899,27.955223,27.6544351428571,27.69574,"2023-15-105"
"7210",26.407778,27.191965,26.8195764285714,26.735764,"2023-15-113"
"7211",31.252901,31.701265,31.4173638571429,31.335196,"2023-15-508"
"7212",24.980555,26.611422,26.0526911428571,26.332163,"2023-15-305"
"7213",32.37714,33.021164,32.7113737142857,32.704422,"2023-15-116"
"7214",34.509384,35.218597,34.9317178571429,35.010128,"2023-15-213"
"7215",22.965067,23.890215,23.482667,23.526094,"2023-15-111"
"7216",26.6967,27.403025,27.0220781428571,26.957287,"2023-15-211"
"7217",35.737297,36.424755,36.181882,36.245094,"2024-15-507"
"7218",27.885677,29.686392,29.0222535714286,29.39102,"2024-15-112"
"7219",27.122726,28.243704,27.7189931428571,27.715601,"2024-15-201"
"7220",25.178974,26.219618,25.713433,25.791752,"2024-15-110"
"7221",21.739365,23.248703,22.4687827142857,22.373728,"2024-15-306"
"7222",24.521101,25.92324,25.4397901428571,25.683905,"2024-15-106"
"7223",29.689217,31.028313,30.2999181428571,30.195698,"2024-15-205"
"7224",35.719593,36.873646,36.3766052857143,36.52109,"2024-15-504"
"7225",25.03955,26.155554,25.6207051428571,25.574425,"2024-15-402"
"7226",28.030722,29.061956,28.5555648571429,28.539934,"2024-15-407"
"7227",29.900726,32.448673,31.1083751428571,31.027946,"2024-15-603"
"7228",36.900135,38.03379,37.5539861428571,37.639984,"2024-15-505"
"7229",24.90774,25.959213,25.3402188571429,25.379728,"2024-15-301"
"7230",35.799553,36.742516,36.3376367142857,36.513943,"2024-15-506"
"7231",33.367702,37.81756,35.8008371428571,35.96514,"2024-15-610"
"7232",26.346075,29.784632,28.2168857142857,28.067251,"2024-15-608"
"7233",26.015085,27.075737,26.5122257142857,26.408907,"2024-15-118"
"7234",24.47126,25.55953,25.0209932857143,25.15134,"2024-15-103"
"7235",22.522852,23.93237,23.1583328571429,23.124834,"2024-15-117"
"7236",22.240158,23.418211,22.8166992857143,22.87639,"2024-15-308"
"7237",27.305424,28.228445,27.7096922857143,27.69509,"2024-15-102"
"7238",34.27139,36.121628,35.0120757142857,34.62242,"2024-15-602"
"7239",27.4361,28.55214,28.0344435714286,28.04872,"2024-15-408"
"7240",33.543922,36.145622,34.689183,34.448223,"2024-15-611"
"7241",23.971691,25.186474,24.5871161428571,24.484426,"2024-15-108"
"7242",NA,NA,NA,NA,"2024-15-607"
"7243",27.938595,29.021883,28.5236314285714,28.505398,"2024-15-203"
"7244",34.80942,35.697628,35.2831772857143,35.340168,"2024-15-215"
"7245",31.085022,32.763702,31.976408,31.812733,"2024-15-706"
"7246",22.987156,24.059137,23.5289242857143,23.508755,"2024-15-401"
"7247",33.679043,34.76296,34.2759544285714,34.28658,"2024-15-511"
"7248",25.73746,27.268154,26.4572,26.322672,"2024-15-304"
"7249",33.392174,34.843647,34.2038631428571,34.19416,"2024-15-510"
"7250",24.503525,25.649061,25.048816,24.895813,"2024-15-303"
"7251",24.894722,26.273174,25.7171112857143,25.819002,"2024-15-120"
"7252",35.235725,36.744705,36.0418132857143,36.170677,"2024-15-501"
"7253",25.145615,27.500057,26.154059,26.049057,"2024-15-701"
"7254",34.77015,35.691963,35.297896,35.383293,"2024-15-214"
"7255",30.463745,32.67114,31.4386615714286,31.177471,"2024-15-705"
"7256",26.015085,27.075737,26.5122257142857,26.408907,"2024-15-115"
"7257",31.395292,32.558105,31.8992191428571,31.77334,"2024-15-604"
"7258",28.847095,30.012823,29.6075964285714,29.658047,"2024-15-107"
"7259",25.161234,26.324299,25.765974,25.697477,"2024-15-114"
"7260",32.73716,33.878036,33.2681981428571,33.0892,"2024-15-509"
