"","tmin_min","tmin_max","tmin_mean","tmin_median","week_canton"
"3787",26.554085,30.672798,28.9842785714286,29.22778,"2024-8-610"
"3788",17.409273,21.4742,19.549968,19.371273,"2024-8-608"
"3789",16.13534,20.825222,18.4499308571429,17.512995,"2024-8-118"
"3790",14.689487,18.767601,16.6055478571429,16.028088,"2024-8-103"
"3791",13.87882,17.885859,15.9887055714286,16.229061,"2024-8-117"
"3792",12.402731,16.454496,14.4010275714286,14.404337,"2024-8-308"
"3793",17.083826,21.627659,19.3142494285714,18.436125,"2024-8-102"
"3794",24.838776,28.619675,26.6776058571429,26.253128,"2024-8-602"
"3795",16.89207,21.945856,19.4820607142857,19.126026,"2024-8-408"
"3796",29.096954,31.578632,30.0886371428571,29.649078,"2024-8-611"
"3797",14.268923,19.309015,16.7886971428571,16.096134,"2024-8-108"
"3798",NA,NA,NA,NA,"2024-8-607"
"3799",17.263254,22.343739,19.8669044285714,19.65084,"2024-8-203"
"3800",23.160454,29.997215,26.5900987142857,27.31562,"2024-8-215"
"3801",23.072123,27.4728,24.9276835714286,24.013945,"2024-8-706"
"3802",13.167677,18.333498,15.7824751428571,15.635433,"2024-8-401"
"3803",20.424564,27.023373,23.761181,23.961369,"2024-8-511"
"3804",16.935488,21.34495,18.8602384285714,18.877178,"2024-8-304"
"3805",23.825916,29.10405,26.4232468571429,26.725258,"2024-8-510"
"3806",14.772062,19.477356,17.0635598571429,16.193531,"2024-8-303"
"3807",16.449574,19.951145,18.1578394285714,17.758764,"2024-8-120"
"3808",20.452175,28.99704,25.1211035714286,26.10719,"2024-8-501"
"3809",18.077967,22.167109,19.6615081428571,19.165491,"2024-8-701"
"3810",22.762505,29.868206,26.467418,27.116287,"2024-8-214"
"3811",23.365604,27.541222,25.0060651428571,23.965775,"2024-8-705"
"3812",16.13534,20.825222,18.4499308571429,17.512995,"2024-8-115"
"3813",20.0461,25.328485,22.6121818571429,22.463972,"2024-8-604"
"3814",19.158829,23.249872,21.0718948571429,20.065666,"2024-8-107"
"3815",15.326849,20.54169,17.9915098571429,17.562536,"2024-8-114"
"3816",21.5298,27.22256,24.402143,24.27816,"2024-8-509"
"3817",16.84203,22.045094,19.4822815714286,19.347122,"2024-8-206"
"3818",19.815758,27.77988,23.9062324285714,24.392605,"2024-8-502"
"3819",13.405834,18.383827,15.7686605,15.109119,"2024-8-307"
"3820",25.774841,29.210152,27.411305,26.7061,"2024-8-209"
"3821",27.260815,30.166458,29.13259,29.456924,"2024-8-605"
"3822",17.787918,22.464071,20.0705281428571,19.6027,"2024-8-207"
"3823",13.543297,18.177053,15.8282878571429,16.185965,"2024-8-302"
"3824",29.031471,32.17893,30.3030908571429,29.582294,"2024-8-609"
"3825",24.727882,28.759563,26.6997751428571,26.188232,"2024-8-702"
"3826",15.391142,20.641443,18.112192,18.03954,"2024-8-208"
"3827",27.740723,31.09827,29.1913685714286,28.797676,"2024-8-601"
"3828",22.59372,25.663612,23.9854025714286,23.475332,"2024-8-104"
"3829",19.45857,23.83686,22.2286921428571,22.7132,"2024-8-119"
"3830",28.237602,30.885483,29.5476641428571,29.384525,"2024-8-606"
"3831",22.240211,27.618717,24.9753725714286,25.14028,"2024-8-216"
"3832",23.123001,28.86494,26.0148292857143,26.365448,"2024-8-210"
"3833",15.326849,20.54169,17.9915098571429,17.562536,"2024-8-406"
"3834",17.083826,21.627659,19.3142494285714,18.436125,"2024-8-101"
"3835",21.049656,25.348108,23.137738,22.581474,"2024-8-204"
"3836",16.433533,21.399017,18.9466857142857,18.327679,"2024-8-409"
"3837",15.410782,20.56958,18.0503988571429,17.647053,"2024-8-405"
"3838",17.735723,24.029955,21.0538347142857,21.348022,"2024-8-202"
"3839",17.313976,21.796618,19.5068285714286,18.657362,"2024-8-109"
"3840",14.89225,20.036558,17.5206458571429,17.266985,"2024-8-404"
"3841",20.712368,28.193146,24.466293,24.92572,"2024-8-503"
"3842",16.433533,21.399017,18.9466857142857,18.327679,"2024-8-403"
"3843",22.971989,28.349483,25.6294992857143,25.324865,"2024-8-410"
"3844",14.777542,20.240187,17.6230305714286,17.685757,"2024-8-212"
"3845",22.834404,27.06171,24.6483607142857,23.634792,"2024-8-703"
"3846",17.712322,22.437607,20.1994224285714,19.600641,"2024-8-704"
"3847",20.370123,23.79932,22.0500471428571,21.912146,"2024-8-105"
"3848",16.433533,21.399017,18.9466857142857,18.327679,"2024-8-113"
"3849",18.274635,25.811954,22.1848497142857,22.926584,"2024-8-508"
"3850",17.846003,22.578156,19.963367,20.023613,"2024-8-305"
"3851",25.103,28.206703,26.4639951428571,26.017551,"2024-8-116"
"3852",24.594734,30.382896,27.4741062857143,27.953255,"2024-8-213"
"3853",13.885073,18.966652,16.37405,15.80559,"2024-8-111"
"3854",15.73657,21.6648,18.8945662857143,19.167791,"2024-8-211"
"3855",25.420052,26.89338,25.9971004285714,25.920761,"2025-8-507"
"3856",19.860426,22.144033,20.905792,21.035065,"2025-8-112"
"3857",17.65756,20.712566,19.3957838571429,19.409,"2025-8-201"
"3858",15.590897,18.554462,17.1297098571429,17.182348,"2025-8-110"
"3859",12.882166,16.215418,14.5412604285714,14.432142,"2025-8-306"
"3860",15.648287,18.42409,17.0009842857143,17.062878,"2025-8-106"
"3861",19.552927,22.179003,20.9511827142857,20.814144,"2025-8-205"
"3862",26.358433,27.655231,27.0204957142857,26.994198,"2025-8-504"
"3863",15.985107,18.913885,17.6159125714286,17.702873,"2025-8-402"
"3864",18.218817,21.379782,19.9317897142857,20.007427,"2025-8-407"
"3865",19.845423,22.563744,21.0414952857143,20.413107,"2025-8-603"
"3866",27.78603,29.32471,28.6874285714286,28.868805,"2025-8-505"
"3867",15.077797,18.4434,16.7928241428571,16.64862,"2025-8-301"
"3868",26.15202,27.525719,26.7759617142857,26.68431,"2025-8-506"
