Tipo de Campaña,Conteo,Distrito,Canton,Dia,Mes,Año,Link
Fumigación,13.373,,Sureste Metropolitana,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Santa Ana,7,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Santa Ana,8,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Santa Ana,9,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Santa Ana,10,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Santa Ana,11,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Fumigación,13.373,,Santa Ana,12,10,2024,https://www.ministeriodesalud.go.cr/index.php/prensa/61-noticias-2024/1967-salud-realizo-24-561-fumigaciones-en-una-semana
Recolección de llantas,,La Trinidad,Moravia,25,11,2025,https://x.com/msaludcr/status/1993339462454329374?s=20
Recolección de llantas,,Guadalupe,Goicoechea,22,11,2025,https://x.com/msaludcr/status/1991521112946344357?s=20
Recolección de llantas,,Santa Ana,Santa Ana,20,11,2025,https://x.com/msaludcr/status/1990912148592005213?s=20
Recolección de llantas,,Santa Ana,Santa Ana,21,11,2025,https://x.com/msaludcr/status/1990912148592005213?s=20
Recolección de llantas,,Santa Ana,Santa Ana,22,11,2025,https://x.com/msaludcr/status/1990912148592005213?s=20
Recolección de llantas,,Santa Ana,Santa Ana,23,11,2025,https://x.com/msaludcr/status/1990912148592005213?s=20
Recolección de llantas,,Santo Domingo,Santo Domingo,10,11,2025,https://x.com/msaludcr/status/1988292386158764242?s=20 y https://x.com/msaludcr/status/1987206481197035769?s=20
Recolección de llantas,,Santo Domingo,Santo Domingo,11,11,2025,https://x.com/msaludcr/status/1988292386158764242?s=20 y https://x.com/msaludcr/status/1987206481197035769?s=20
Recolección de llantas,,Santo Domingo,Santo Domingo,12,11,2025,https://x.com/msaludcr/status/1988292386158764242?s=20 y https://x.com/msaludcr/status/1987206481197035769?s=20
Recolección de llantas,,Santo Domingo,Santo Domingo,13,11,2025,https://x.com/msaludcr/status/1988292386158764242?s=20 y https://x.com/msaludcr/status/1987206481197035769?s=20
Recolección de llantas,,Santo Domingo,Santo Domingo,14,11,2025,https://x.com/msaludcr/status/1988292386158764242?s=20 y https://x.com/msaludcr/status/1987206481197035769?s=20
Recolección de llantas,,Santo Domingo,Santo Domingo,15,11,2025,https://x.com/msaludcr/status/1985773035610382835?s=20
Recolección de llantas,,Santo Domingo,Santo Domingo,4,11,2025,https://x.com/msaludcr/status/1985773035610382835?s=20
Recolección de llantas,,Santo Domingo,Santo Domingo,5,11,2025,https://x.com/msaludcr/status/1985773035610382835?s=20
Recolección de llantas,,Bratsi,Talamanca,13,10,2025,https://x.com/msaludcr/status/1977774744683372890?s=20
Recolección de llantas,,Bratsi,Talamanca,14,10,2025,https://x.com/msaludcr/status/1977774744683372890?s=20
Recolección de llantas,,Bratsi,Talamanca,15,10,2025,https://x.com/msaludcr/status/1977774744683372890?s=20
Recolección de llantas,,Corredor,Corredores,25,9,2025,https://x.com/msaludcr/status/1970620189768351828?s=20
Recolección de llantas,,Laurel y Naranjo,Corredores,22,9,2025,https://x.com/msaludcr/status/1969206123493539967?s=20
Recolección de llantas,,Dulce Nombre,Cartago,26,8,2025,https://x.com/msaludcr/status/1960351172381823437?s=20
Recolección de llantas,,Guaycará,Golfito,8,8,2025,https://x.com/msaludcr/status/1953109811836707132?s=20
Recolección de llantas,,Guaycará,Golfito,6,8,2025,https://x.com/msaludcr/status/1952436624048132152?s=20
Recolección de llantas,,Peñas Blancas,San Ramón,31,7,2025,https://x.com/msaludcr/status/1950224296305185271?s=20
Recolección de llantas,,Curridabat,Curridabat,31,7,2025,https://x.com/msaludcr/status/1950193342693986530?s=20
Recolección de llantas,,Desamparados,Desamparados,9,7,2025,https://x.com/msaludcr/status/1942593298176131266?s=20
Recolección de llantas,,Palmira,Carrillo,1,7,2025,https://x.com/msaludcr/status/1940047237603631322?s=21
