"","precip_total","precip_max","precip_min","precip_mean","precip_median","week_canton"
"4819",127.784362,34.99347,11.66449,18.2549088571429,15.377644,"2022-35-608"
"4820",92.727289,34.99347,0,13.2467555714286,8.118287,"2022-36-608"
"4821",100.29331,25.71358,0,14.3276157142857,13.961758,"2022-37-608"
"4822",60.370812,15.77127,0,8.62440171428571,7.885635,"2022-38-608"
"4823",103.3728345,34.24712,0,14.7675477857143,14.370622,"2022-39-608"
"4824",162.112874,57.995728,0,23.158982,17.12356,"2022-40-608"
"4825",70.5445765,21.350645,0,10.0777966428571,10.675323,"2022-41-608"
"4826",78.1657425,22.85127,0,11.1665346428571,12.985281,"2022-42-608"
"4827",130.97133,108.12006,0,18.71019,0,"2022-43-608"
"4828",106.625391,55.672745,0,15.2321987142857,9.27879,"2022-44-608"
"4829",135.211028,41.51245,0,19.3158611428571,13.837484,"2022-45-608"
"4830",65.3449016,38.348644,0,9.33498594285714,6.7490644,"2022-46-608"
"4831",134.743593,43.65651,0,19.2490847142857,21.828255,"2022-47-608"
"4832",51.944121,34.629414,0,7.42058871428571,0,"2022-48-608"
"4833",10.420596,10.420596,0,1.48865657142857,0,"2022-49-608"
"4834",33.806898,8.802661,0,4.82955685714286,7.398915,"2022-50-608"
"4835",0,0,0,0,0,"2022-51-608"
"4836",48.1215607,28.201109,0,6.87450867142857,0,"2022-52-608"
"4837",11.945822,11.945822,0,1.706546,0,"2023-1-608"
"4838",11.5347674,6.0767794,0,1.64782391428571,0,"2023-2-608"
"4839",0,0,0,0,0,"2023-3-608"
"4840",22.4290445,13.2662115,0,3.20414921428571,0,"2023-4-608"
"4841",5.0532436,5.0532436,0,0.721891942857143,0,"2023-5-608"
"4842",8.435686,8.435686,0,1.205098,0,"2023-6-608"
"4843",5.0166364,5.0166364,0,0.716662342857143,0,"2023-7-608"
"4844",4.682405,4.682405,0,0.668915,0,"2023-8-608"
"4845",0,0,0,0,0,"2023-9-608"
"4846",115.892504,34.492935,0,16.556072,22.995289,"2023-10-608"
"4847",106.359523,46.906635,0,15.1942175714286,8.999892,"2023-11-608"
"4848",5.1909113,5.1909113,0,0.741558757142857,0,"2023-12-608"
"4849",15.5727339,5.1909113,0,2.22467627142857,0,"2023-13-608"
"4850",32.0260155,13.04882,0,4.57514507142857,4.1509285,"2023-14-608"
"4851",28.906543,14.921422,0,4.12950614285714,0,"2023-15-608"
"4852",47.4710332,32.340736,0,6.78157617142857,0,"2023-16-608"
"4853",85.431587,51.258953,0,12.2045124285714,0,"2023-17-608"
"4854",6.8912377,6.8912377,0,0.984462528571428,0,"2023-18-608"
"4855",55.888781,19.482841,0,7.98411157142857,9.101485,"2023-19-608"
"4856",98.808433,29.324865,0,14.1154904285714,14.059704,"2023-20-608"
"4857",149.774475,63.24266,0,21.3963535714286,19.54991,"2023-21-608"
"4858",193.781124,63.24266,11.872353,27.6830177142857,23.744705,"2023-22-608"
"4859",159.1137293,63.829376,0,22.7305327571429,23.744705,"2023-23-608"
"4860",53.8252673,23.130789,0,7.6893239,7.7102633,"2023-24-608"
"4861",104.369253,43.48719,0,14.9098932857143,8.697437,"2023-25-608"
"4862",80.452451,27.145876,0,11.4932072857143,14.80762,"2023-26-608"
"4863",101.969668,32.067337,0,14.5670954285714,10.858351,"2023-27-608"
"4864",76.257042,47.660652,0,10.8938631428571,0,"2023-28-608"
"4865",59.4812104,16.976078,0,8.49731577142857,6.3822637,"2023-29-608"
"4866",44.9280007,20.624968,0,6.41828581428571,5.156242,"2023-30-608"
"4867",41.5236503,10.943945,0,5.93195004285714,5.4719725,"2023-31-608"
"4868",48.0207088,17.892359,0,6.86010125714286,4.4730897,"2023-32-608"
"4869",43.402136,13.419269,0,6.20030514285714,8.946179,"2023-33-608"
"4870",86.1555511,30.331434,0,12.3079358714286,10.110477,"2023-34-608"
"4871",48.0892474,16.353521,0,6.86989248571429,8.176761,"2023-35-608"
"4872",79.7424618,15.847235,7.9236174,11.3917802571429,8.176761,"2023-36-608"
"4873",98.699482,23.356821,0,14.099926,14.853097,"2023-37-608"
"4874",67.9754403,22.309309,0,9.71077718571429,7.7856073,"2023-38-608"
"4875",63.105961,32.536827,0,9.01513728571429,8.877914,"2023-39-608"
"4876",129.077876,35.511658,0,18.4396965714286,14.51364,"2023-40-608"
"4877",125.904428,58.05456,0,17.9863468571429,0,"2023-41-608"
"4878",132.107383,51.533077,0,18.8724832857143,16.11486,"2023-42-608"
"4879",175.897579,51.875637,0,25.1282255714286,25.937819,"2023-43-608"
"4880",77.911589,25.97053,0,11.130227,8.656843,"2023-44-608"
"4881",26.331966,13.248637,0,3.76170942857143,0,"2023-45-608"
"4882",117.379913,29.693296,0,16.768559,22.269972,"2023-46-608"
"4883",34.346789,17.948977,0,4.90668414285714,0,"2023-47-608"
"4884",40.19916,40.19916,0,5.74273714285714,0,"2023-48-608"
"4885",0,0,0,0,0,"2023-49-608"
"4886",55.276855,34.68995,0,7.89669357142857,0,"2023-50-608"
"4887",12.352143,8.234762,0,1.76459185714286,0,"2023-51-608"
"4888",35.355396,17.677698,0,5.05077085714286,0,"2023-52-608"
"4889",9.977525,9.977525,0,1.42536071428571,0,"2024-1-608"
"4890",0,0,0,0,0,"2024-2-608"
"4891",0,0,0,0,0,"2024-3-608"
"4892",16.902754,16.902754,0,2.41467914285714,0,"2024-4-608"
"4893",70.22713,26.662188,0,10.0324471428571,0,"2024-5-608"
"4894",0,0,0,0,0,"2024-6-608"
"4895",0,0,0,0,0,"2024-7-608"
"4896",0,0,0,0,0,"2024-8-608"
"4897",0,0,0,0,0,"2024-9-608"
"4898",9.139158,9.139158,0,1.305594,0,"2024-10-608"
"4899",0,0,0,0,0,"2024-11-608"
"4900",8.982908,8.982908,0,1.28327257142857,0,"2024-12-608"
"4901",73.522308,27.802011,0,10.5031868571429,9.267337,"2024-13-608"
"4902",0,0,0,0,0,"2024-14-608"
"4903",41.6729928,26.999514,0.10530573,5.95328468571429,0.45731613,"2024-15-608"
"4904",30.200830588,19.626854,0,4.31440436971429,0,"2024-16-608"
"4905",83.4211233,20.044828,0,11.9173033285714,15.033622,"2024-17-608"
"4906",66.5289,35.152966,0,9.50412857142857,0,"2024-18-608"
"4907",60.723548,18.22703,0,8.67479257142857,7.082753,"2024-19-608"
"4908",92.9060997,27.340546,4.6356664,13.2722999571429,9.113515,"2024-20-608"
"4909",86.084669,27.97461,0,12.2978098571429,9.324869,"2024-21-608"
"4910",64.802025,26.517826,0,9.25743214285714,0,"2024-22-608"
"4911",174.70431,35.299118,20.519934,24.9577585714286,23.532745,"2024-23-608"
"4912",125.29082,37.580776,0,17.8986885714286,14.717431,"2024-24-608"
"4913",127.030159,35.529263,11.032136,18.1471655714286,11.843088,"2024-25-608"
"4914",86.904251,29.880354,0,12.414893,12.203366,"2024-26-608"
"4915",130.245885,48.84221,0,18.606555,16.280735,"2024-27-608"
"4916",106.8271583,25.827253,0,15.2610226142857,17.901108,"2024-28-608"
"4917",46.166022,16.273825,0,6.595146,4.068456,"2024-29-608"
"4918",68.789141,13.967011,0,9.82702014285714,13.618373,"2024-30-608"
"4919",69.0070404,24.643812,0,9.85814862857143,8.214603,"2024-31-608"
"4920",85.908687,34.530704,0,12.2726695714286,8.632676,"2024-32-608"
"4921",46.681529,19.113365,0,6.66878985714286,4.227399,"2024-33-608"
"4922",68.6357075,26.488256,0,9.80510107142857,9.523598,"2024-34-608"
"4923",62.1886961,19.302967,3.2844996,8.88409944285714,9.006054,"2024-35-608"
"4924",75.225643,23.19784,0,10.7465204285714,5.79946,"2024-36-608"
"4925",39.9675243,11.59892,0,5.70964632857143,6.709644,"2024-37-608"
"4926",67.7963002,26.806961,0,9.68518574285714,8.935655,"2024-38-608"
"4927",94.31265,19.85375,0,13.4732357142857,17.87131,"2024-39-608"
"4928",140.262373,39.7075,11.41349,20.0374818571429,15.489928,"2024-40-608"
"4929",45.3617514,20.281824,0,6.4802502,7.4695077,"2024-41-608"
"4930",98.606682,22.408524,8.964939,14.0866688571429,8.964939,"2024-42-608"
"4931",72.824747,24.054457,0,10.4035352857143,8.128382,"2024-43-608"
"4932",161.594982,50.72942,12.027228,23.0849974285714,16.909807,"2024-44-608"
"4933",219.028029,52.91669,0,31.2897184285714,33.819614,"2024-45-608"
"4934",163.416585,69.173485,0,23.3452264285714,12.534808,"2024-46-608"
"4935",90.418662,32.674522,0,12.9169517142857,10.891508,"2024-47-608"
"4936",84.257817,28.88192,0,12.036831,10.891508,"2024-48-608"
"4937",9.337467,9.337467,0,1.33392385714286,0,"2024-49-608"
"4938",0,0,0,0,0,"2024-50-608"
"4939",11.0139074,5.5069537,0,1.57341534285714,0,"2024-51-608"
"4940",68.6051511,27.53477,0,9.80073587142857,7.1126857,"2024-52-608"
"4941",32.1322548,9.525304,1.7781714,4.59032211428571,4.762652,"2025-1-608"
