,rr,week-canton,clasi_rr,clasi_rr_no_0
11383,0.0,2022-48-301,Bajo,Bajo
11384,0.0,2022-49-301,Bajo,Bajo
11385,0.0,2022-50-301,Bajo,Bajo
11386,0.0,2022-51-301,Bajo,Bajo
11387,0.0,2022-52-301,Bajo,Bajo
11388,0.4782042408221944,2023-1-301,Medio,Bajo
11389,0.0,2023-2-301,Bajo,Bajo
11390,0.0,2023-3-301,Bajo,Bajo
11391,0.0,2023-4-301,Bajo,Bajo
11392,0.0,2023-5-301,Bajo,Bajo
11393,0.0,2023-6-301,Bajo,Bajo
11394,0.0,2023-7-301,Bajo,Bajo
11395,0.0,2023-8-301,Bajo,Bajo
11396,0.0,2023-9-301,Bajo,Bajo
11397,0.0,2023-10-301,Bajo,Bajo
11398,0.0,2023-11-301,Bajo,Bajo
11399,0.0,2023-12-301,Bajo,Bajo
11400,0.0,2023-13-301,Bajo,Bajo
11401,0.0,2023-14-301,Bajo,Bajo
11402,0.0,2023-15-301,Bajo,Bajo
11403,0.0,2023-16-301,Bajo,Bajo
11404,0.4156642518030697,2023-17-301,Medio,Bajo
11405,0.0,2023-18-301,Bajo,Bajo
11406,0.2224936952186279,2023-19-301,Medio,Bajo
11407,0.0,2023-20-301,Bajo,Bajo
11408,0.0,2023-21-301,Bajo,Bajo
11409,0.0,2023-22-301,Bajo,Bajo
11410,0.0,2023-23-301,Bajo,Bajo
11411,0.0,2023-24-301,Bajo,Bajo
11412,0.0,2023-25-301,Bajo,Bajo
11413,0.0,2023-26-301,Bajo,Bajo
11414,0.0,2023-27-301,Bajo,Bajo
11415,0.0,2023-28-301,Bajo,Bajo
11416,0.0,2023-29-301,Bajo,Bajo
11417,0.0,2023-30-301,Bajo,Bajo
11418,0.0,2023-31-301,Bajo,Bajo
11419,0.039621336344984,2023-32-301,Medio,Bajo
11420,0.1003798932528402,2023-33-301,Medio,Bajo
11421,0.0,2023-34-301,Bajo,Bajo
11422,0.0,2023-35-301,Bajo,Bajo
11423,0.0269379771680374,2023-36-301,Medio,Bajo
11424,0.0,2023-37-301,Bajo,Bajo
11425,0.027010131082942,2023-38-301,Medio,Bajo
11426,0.0,2023-39-301,Bajo,Bajo
11427,0.0616618734356785,2023-40-301,Medio,Bajo
11428,0.1064413848808309,2023-41-301,Medio,Bajo
11429,0.1036573326298369,2023-42-301,Medio,Bajo
11430,0.0676991214022678,2023-43-301,Medio,Bajo
11431,0.1290546323727146,2023-44-301,Medio,Bajo
11432,0.0576352127919961,2023-45-301,Medio,Bajo
11433,0.0723695126974788,2023-46-301,Medio,Bajo
11434,0.0,2023-47-301,Bajo,Bajo
11435,0.0,2023-48-301,Bajo,Bajo
