"","week_canton","pob"
"238","2020-3-609",20991.8508060109
"239","2020-3-610",52077.9445819672
"240","2020-3-611",25734.6198579235
"241","2020-3-701",93341.1643797814
"242","2020-3-702",149640.620459016
"243","2020-3-703",56916.7576748634
"244","2020-3-704",43188.8631530055
"245","2020-3-705",44276.0884508197
"246","2020-3-706",55508.0208743169
"247","2020-4-101",348242.021540984
"248","2020-4-102",69526.5753606557
"249","2020-4-103",239438.687409836
"250","2020-4-104",38344.6534754098
"251","2020-4-105",17863.0816065574
"252","2020-4-106",61780.089704918
"253","2020-4-107",28354.4536721311
"254","2020-4-108",137432.486590164
"255","2020-4-109",59611.5697213115
"256","2020-4-110",93172.0818360656
"257","2020-4-111",69996.3584426229
"258","2020-4-112",21736.9500983607
"259","2020-4-113",83867.9211311476
"260","2020-4-114",61188.5533934426
"261","2020-4-115",61386.4257377049
"262","2020-4-116",7149.82040983607
"263","2020-4-117",7766.08691803279
"264","2020-4-118",78221.3334590164
"265","2020-4-119",135445.722901639
"266","2020-4-120",13152.3060819672
"267","2020-4-201",314783.204360656
"268","2020-4-202",89532.6118688525
"269","2020-4-203",78179.2870819672
"270","2020-4-204",7343.96416393443
"271","2020-4-205",29642.4814426229
"272","2020-4-206",48924.7177540984
"273","2020-4-207",41143.2110819672
"274","2020-4-208",34051.2143606557
"275","2020-4-209",24012.9565737705
"276","2020-4-210",201601.974163934
"277","2020-4-211",14457.2185409836
"278","2020-4-212",22235.0582622951
"279","2020-4-213",54713.3676065574
"280","2020-4-214",34371.1626885246
"281","2020-4-215",19255.2799016393
"282","2020-4-216",16725.9155573771
"283","2020-4-301",161075.887262295
"284","2020-4-302",60626.0503114754
"285","2020-4-303",111517.104803279
"286","2020-4-304",15992.6923442623
"287","2020-4-305",70179.4877868852
"288","2020-4-306",15076.4736721311
"289","2020-4-307",48241.1424754098
"290","2020-4-308",44600.9342459016
"291","2020-4-401",141808.878557377
"292","2020-4-402",46656.5090655738
"293","2020-4-403",48765.1055245902
"294","2020-4-404",43202.2105409836
"295","2020-4-405",54554.8189344262
"296","2020-4-406",22819.6955901639
"297","2020-4-407",25882.2750491803
"298","2020-4-408",21293.7781967213
"299","2020-4-409",30166.974704918
"300","2020-4-410",87102.7068032787
"301","2020-4-501",76677.4764918033
"302","2020-4-502",57338.221295082
"303","2020-4-503",68791.5221967213
"304","2020-4-504",24349.8773278689
"305","2020-4-505",46410.5339508197
"306","2020-4-506",31699.4150819672
"307","2020-4-507",19909.8159508197
"308","2020-4-508",24587.8719508197
"309","2020-4-509",11482.9498852459
"310","2020-4-510",26274.724147541
"311","2020-4-511",7102.03114754098
"312","2020-4-601",138131.890672131
"313","2020-4-602",33610.9471311475
"314","2020-4-603",52811.5716065574
"315","2020-4-604",14604.929
"316","2020-4-605",29567.6676885246
"317","2020-4-606",33250.1928688525
"318","2020-4-607",32048.8095737705
"319","2020-4-608",36389.8031803279
"320","2020-4-609",20997.2822131148
"321","2020-4-610",52083.1683606557
"322","2020-4-611",25745.8135081967
"323","2020-4-701",93337.7147377049
"324","2020-4-702",149666.090819672
"325","2020-4-703",56916.1088360656
"326","2020-4-704",43199.7636065574
"327","2020-4-705",44281.1469836066
"328","2020-4-706",55520.7821803279
"329","2020-5-101",348260.34029235
"330","2020-5-102",69532.7021393443
"331","2020-5-103",239461.234256831
"332","2020-5-104",38348.1223579235
"333","2020-5-105",17863.763226776
"334","2020-5-106",61784.7329617486
"335","2020-5-107",28356.2173278689
"336","2020-5-108",137443.270243169
"337","2020-5-109",59621.0314453552
"338","2020-5-110",93188.2819972678
"339","2020-5-111",70004.4062240437
"340","2020-5-112",21738.2062349727
"341","2020-5-113",83873.7812021858
"342","2020-5-114",61190.776773224
"343","2020-5-115",61385.9254289617
"344","2020-5-116",7150.7337568306
"345","2020-5-117",7766.31141530055
"346","2020-5-118",78226.3900409836
"347","2020-5-119",135439.591265027
"348","2020-5-120",13153.7160846995
"349","2020-5-201",314830.613639344
"350","2020-5-202",89542.4166311475
"351","2020-5-203",78189.3607513661
"352","2020-5-204",7344.73200273224
"353","2020-5-205",29645.8613907104
"354","2020-5-206",48930.038079235
"355","2020-5-207",41149.2095846995
"356","2020-5-208",34056.8348060109
"357","2020-5-209",24017.2569262295
"358","2020-5-210",201640.495336066
"359","2020-5-211",14458.7757923497
"360","2020-5-212",22237.3774043716
"361","2020-5-213",54722.3920601093
"362","2020-5-214",34382.0288114754
"363","2020-5-215",19258.2342650273
