"","week_canton","pob"
"666","2020-9-110",93253.0826420765
"667","2020-9-111",70036.5973497268
"668","2020-9-112",21743.2307814208
"669","2020-9-113",83897.2214863388
"670","2020-9-114",61199.6702923497
"671","2020-9-115",61383.9241939891
"672","2020-9-116",7154.38714480874
"673","2020-9-117",7767.20940437159
"674","2020-9-118",78246.6163688525
"675","2020-9-119",135415.064718579
"676","2020-9-120",13159.3560956284
"677","2020-9-201",315020.250754098
"678","2020-9-202",89581.6356803279
"679","2020-9-203",78229.6554289617
"680","2020-9-204",7347.8033579235
"681","2020-9-205",29659.3811830601
"682","2020-9-206",48951.3193797814
"683","2020-9-207",41173.2035956284
"684","2020-9-208",34079.3165874317
"685","2020-9-209",24034.4583360656
"686","2020-9-210",201794.58002459
"687","2020-9-211",14465.0047978142
"688","2020-9-212",22246.6539726776
"689","2020-9-213",54758.4898743169
"690","2020-9-214",34425.4933032787
"691","2020-9-215",19270.0517185792
"692","2020-9-216",16748.6358169399
"693","2020-9-301",161121.777139344
"694","2020-9-302",60646.456363388
"695","2020-9-303",111572.956770492
"696","2020-9-304",15989.2122349727
"697","2020-9-305",70155.1482513661
"698","2020-9-306",15079.3711174863
"699","2020-9-307",48254.7360546448
"700","2020-9-308",44615.7376202186
"701","2020-9-401",141897.13631694
"702","2020-9-402",46697.1642431694
"703","2020-9-403",48789.5452786885
"704","2020-9-404",43238.7667978142
"705","2020-9-405",54595.0254234973
"706","2020-9-406",22832.9380218579
"707","2020-9-407",25895.489557377
"708","2020-9-408",21310.5628961749
"709","2020-9-409",30173.810989071
"710","2020-9-410",87269.4737704918
"711","2020-9-501",76771.4424071038
"712","2020-9-502",57367.6216775956
"713","2020-9-503",68872.9985628415
"714","2020-9-504",24373.1948825137
"715","2020-9-505",46472.2777759563
"716","2020-9-506",31720.5059289617
"717","2020-9-507",19913.8797759563
"718","2020-9-508",24594.1407759563
"719","2020-9-509",11484.2401994536
"720","2020-9-510",26310.2026721311
"721","2020-9-511",7102.00800546448
"722","2020-9-601",138241.89395082
"723","2020-9-602",33644.5524863388
"724","2020-9-603",52855.0897076503
"725","2020-9-604",14611.6023333333
"726","2020-9-605",29567.771636612
"727","2020-9-606",33283.3966803279
"728","2020-9-607",32050.3963360656
"729","2020-9-608",36377.9222103825
"730","2020-9-609",21024.4392486339
"731","2020-9-610",52109.2872540984
"732","2020-9-611",25801.7817595628
"733","2020-9-701",93320.4665273224
"734","2020-9-702",149793.442622951
"735","2020-9-703",56912.8646420765
"736","2020-9-704",43254.2658743169
"737","2020-9-705",44306.439647541
"738","2020-9-706",55584.5887103825
"739","2020-10-101",348351.93404918
"740","2020-10-102",69563.3360327869
"741","2020-10-103",239573.968491803
"742","2020-10-104",38365.4667704918
"743","2020-10-105",17867.1713278689
"744","2020-10-106",61807.9492459016
"745","2020-10-107",28365.0356065574
"746","2020-10-108",137497.188508197
"747","2020-10-109",59668.3400655738
"748","2020-10-110",93269.2828032787
"749","2020-10-111",70044.6451311475
"750","2020-10-112",21744.4869180328
"751","2020-10-113",83903.0815573771
"752","2020-10-114",61201.8936721311
"753","2020-10-115",61383.4238852459
"754","2020-10-116",7155.30049180328
"755","2020-10-117",7767.43390163934
"756","2020-10-118",78251.6729508197
"757","2020-10-119",135408.933081967
"758","2020-10-120",13160.7660983607
"759","2020-10-201",315067.660032787
"760","2020-10-202",89591.4404426229
"761","2020-10-203",78239.7290983607
"762","2020-10-204",7348.57119672131
"763","2020-10-205",29662.7611311475
"764","2020-10-206",48956.639704918
"765","2020-10-207",41179.2020983607
"766","2020-10-208",34084.9370327869
"767","2020-10-209",24038.7586885246
"768","2020-10-210",201833.101196721
"769","2020-10-211",14466.5620491803
"770","2020-10-212",22248.9731147541
"771","2020-10-213",54767.5143278688
"772","2020-10-214",34436.3594262295
"773","2020-10-215",19273.0060819672
"774","2020-10-216",16753.1798688525
"775","2020-10-301",161130.955114754
"776","2020-10-302",60650.5375737705
"777","2020-10-303",111584.127163934
"778","2020-10-304",15988.5162131148
"779","2020-10-305",70150.2803442623
"780","2020-10-306",15079.9506065574
"781","2020-10-307",48257.4547704918
"782","2020-10-308",44618.698295082
