"","week_canton","precip_total_lag_8","precip_total_lag_7","precip_total_lag_6","precip_total_lag_5","precip_total_lag_4","precip_total_lag_3","precip_total_lag_2","precip_total_lag_1","precip_max_lag_8","precip_max_lag_7","precip_max_lag_6","precip_max_lag_5","precip_max_lag_4","precip_max_lag_3","precip_max_lag_2","precip_max_lag_1","precip_mean_lag_8","precip_mean_lag_7","precip_mean_lag_6","precip_mean_lag_5","precip_mean_lag_4","precip_mean_lag_3","precip_mean_lag_2","precip_mean_lag_1","precip_median_lag_8","precip_median_lag_7","precip_median_lag_6","precip_median_lag_5","precip_median_lag_4","precip_median_lag_3","precip_median_lag_2","precip_median_lag_1","precip_min_lag_8","precip_min_lag_7","precip_min_lag_6","precip_min_lag_5","precip_min_lag_4","precip_min_lag_3","precip_min_lag_2","precip_min_lag_1"
"15943","2020-35-404",50.220273,46.25751,47.048894,111.0055471,31.715455,110.711117,51.58873536,112.170781,23.73708,18.503004,13.336558,53.608547,9.801915,49.695198,21.316948,87.960785,7.17432471428571,6.60821571428571,6.72127057142857,15.8579353,4.53077928571429,15.8158738571429,7.36981933714286,16.0243972857143,0,0,6.791926,7.2193227,4.2531457,13.942892,1.9773803,0,0,0,0,0,0,0,0.47947496,0
"15944","2020-35-503",118.3112539,105.615989,62.8679135,264.7431815,59.341256,151.297264,36.1121577,138.085762,50.36267,26.278906,21.632862,100.65341,24.684795,59.199726,16.787556,39.918724,16.9016077,15.0879984285714,8.9811305,37.8204545,8.47732228571429,21.6138948571429,5.15887967142857,19.7265374285714,13.749389,13.139453,8.336802,25.515337,8.228265,23.679892,3.9631517,19.959362,6.8746943,0,0,0,0,4.608958,0,0
"15945","2020-35-403",46.016068,43.13427,39.2695928,79.464656,31.7274512,75.0261516,30.30156626,19.59421,15.223726,21.567135,9.100183,30.123842,11.55344,32.03845,15.568616,9.797105,6.573724,6.16203857142857,5.60994182857143,11.3520937142857,4.53249302857143,10.7180216571429,4.32879518,2.79917285714286,7.784308,0,7.0230756,5.8430057,3.5993228,10.949254,1.3912077,0,0,0,0,0,0,0,0.3821675,0
"15946","2020-35-410",45.571746,37.674102,39.670298,112.587137,38.0508953,73.282444,82.01865526,149.414016,22.785873,12.558034,26.446865,42.574795,13.1543665,26.64816,54.104084,104.11595,6.51024942857143,5.38201457142857,5.66718542857143,16.0838767142857,5.43584218571429,10.4689205714286,11.7169507514286,21.3448594285714,0,0,0,10.880356,3.6638691,6.66204,3.720722,0,0,0,0,0,0,0,0.73297626,0
"15947","2020-35-212",61.886669,123.6617998,76.850319,78.830064,39.6929176,88.92001,69.45685027,103.3804626,26.200304,69.45313,17.247019,34.429497,12.074025,40.418186,28.458181,69.45313,8.84095271428571,17.6659714,10.978617,11.2614377142857,5.6704168,12.7028585714286,9.92240718142857,14.7686375142857,9.486061,12.0463705,8.623509,9.971071,7.19396,8.083637,2.9623818,4.2409163,0,0,0,0,0,0,0.82300997,0
"15948","2020-35-703",40.389376,37.635356,44.558487,101.770901,24.3432877,91.247866,62.6949928,17.6599304,18.058588,9.408839,44.558487,40.103016,12.171644,34.21795,36.117176,11.773287,5.76991085714286,5.37647942857143,6.36549814285714,14.5387001428571,3.47761252857143,13.0354094285714,8.95642754285714,2.5228472,0,9.408839,0,12.333577,0,11.405983,5.246227,0,0,0,0,0,0,0,0.6470358,0
"15949","2020-35-704",22.8036415,46.461357,37.358243,97.741916,53.7271712,75.220947,62.2926246,58.851637,8.068925,23.230679,11.296424,26.722172,33.975876,24.43102,19.997374,34.94086,3.25766307142857,6.63733671428571,5.33689185714286,13.9631308571429,7.67531017142857,10.7458495714286,8.89894637142857,8.40737671428571,0,0,1.7344855,20.04163,0,10.071559,6.7717695,0,0,0,0,0,0,0,0,0
"15950","2020-35-105",83.600409,52.168497,76.004961,148.490793,49.688603,124.325286,65.7142986,164.634645,26.950413,26.08425,31.276676,41.95982,18.008106,44.778114,26.950413,71.41735,11.9429155714286,7.45264242857143,10.8578515714286,21.2129704285714,7.09837185714286,17.7607551428571,9.38775694285714,23.519235,14.162499,8.694749,8.945657,16.861515,9.004053,11.194529,5.2687564,8.719978,0,0,0,0,0,0,0,0
"15951","2020-35-113",46.016068,43.13427,39.2695928,79.464656,31.7274512,75.0261516,30.30156626,19.59421,15.223726,21.567135,9.100183,30.123842,11.55344,32.03845,15.568616,9.797105,6.573724,6.16203857142857,5.60994182857143,11.3520937142857,4.53249302857143,10.7180216571429,4.32879518,2.79917285714286,7.784308,0,7.0230756,5.8430057,3.5993228,10.949254,1.3912077,0,0,0,0,0,0,0,0.3821675,0
"15952","2020-35-508",87.8850394,91.881491,45.8110804,154.454828,59.0719204,121.5592494,82.7805237,132.417367,28.572947,39.1896,13.833779,65.33603,13.902267,46.253735,42.859417,26.565489,12.5550056285714,13.1259272857143,6.54444005714286,22.0649754285714,8.43884577142857,17.3656070571429,11.8257891,18.9167667142857,14.286473,0,6.9168897,0,10.422462,5.9249144,2.9496093,26.36045,0,0,0,0,0,0,1.0591561,0
"15953","2020-35-305",25.2353892,64.1599566,37.133539,82.263638,32.4310365,93.993162,39.6587091,9.8784456,10.09914,33.88172,16.275137,32.44271,10.073296,37.76903,10.09914,6.5856304,3.6050556,9.16570808571429,5.30479128571429,11.7519482857143,4.63300521428571,13.4275945714286,5.66552987142857,1.41120651428571,5.0454164,4.3254623,0,7.801338,5.036648,9.442258,5.454083,0,0,0,0,0,0,0,1.4605595,0
