"","week_canton","nino34ssta_lag_8","nino34ssta_lag_7","nino34ssta_lag_6","nino34ssta_lag_5","nino34ssta_lag_4","nino34ssta_lag_3","nino34ssta_lag_2","nino34ssta_lag_1"
"107","2020-10-205",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"108","2020-10-206",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"109","2020-10-207",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"110","2020-10-208",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"111","2020-10-209",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"112","2020-10-210",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"113","2020-10-211",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"114","2020-10-212",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"115","2020-10-213",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"116","2020-10-214",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"117","2020-10-215",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"118","2020-10-216",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"119","2020-10-301",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"120","2020-10-302",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"121","2020-10-303",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
"122","2020-10-304",0.576147902201376,0.6,0.550799152772745,0.499227907811964,0.446840196330939,0.393276257134398,0.376686240185382,0.392221994410374
