"","keyword","value","week_canton"
"350","aedes aegypti",0,"2020-22-214"
"351","aedes aegypti",0,"2020-22-215"
"352","aedes aegypti",0,"2020-22-216"
"353","aedes aegypti",0,"2020-23-201"
"354","aedes aegypti",0,"2020-23-202"
"355","aedes aegypti",0,"2020-23-203"
"356","aedes aegypti",0,"2020-23-204"
"357","aedes aegypti",0,"2020-23-205"
"358","aedes aegypti",0,"2020-23-206"
"359","aedes aegypti",0,"2020-23-207"
"360","aedes aegypti",0,"2020-23-208"
"361","aedes aegypti",0,"2020-23-209"
"362","aedes aegypti",0,"2020-23-210"
"363","aedes aegypti",0,"2020-23-211"
"364","aedes aegypti",0,"2020-23-212"
"365","aedes aegypti",0,"2020-23-213"
"366","aedes aegypti",0,"2020-23-214"
"367","aedes aegypti",0,"2020-23-215"
"368","aedes aegypti",0,"2020-23-216"
"369","aedes aegypti",0,"2020-24-201"
"370","aedes aegypti",0,"2020-24-202"
"371","aedes aegypti",0,"2020-24-203"
"372","aedes aegypti",0,"2020-24-204"
"373","aedes aegypti",0,"2020-24-205"
"374","aedes aegypti",0,"2020-24-206"
"375","aedes aegypti",0,"2020-24-207"
"376","aedes aegypti",0,"2020-24-208"
"377","aedes aegypti",0,"2020-24-209"
"378","aedes aegypti",0,"2020-24-210"
"379","aedes aegypti",0,"2020-24-211"
"380","aedes aegypti",0,"2020-24-212"
"381","aedes aegypti",0,"2020-24-213"
"382","aedes aegypti",0,"2020-24-214"
"383","aedes aegypti",0,"2020-24-215"
"384","aedes aegypti",0,"2020-24-216"
"385","aedes aegypti",0,"2020-25-201"
"386","aedes aegypti",0,"2020-25-202"
"387","aedes aegypti",0,"2020-25-203"
"388","aedes aegypti",0,"2020-25-204"
"389","aedes aegypti",0,"2020-25-205"
"390","aedes aegypti",0,"2020-25-206"
"391","aedes aegypti",0,"2020-25-207"
"392","aedes aegypti",0,"2020-25-208"
"393","aedes aegypti",0,"2020-25-209"
"394","aedes aegypti",0,"2020-25-210"
"395","aedes aegypti",0,"2020-25-211"
"396","aedes aegypti",0,"2020-25-212"
"397","aedes aegypti",0,"2020-25-213"
"398","aedes aegypti",0,"2020-25-214"
"399","aedes aegypti",0,"2020-25-215"
"400","aedes aegypti",0,"2020-25-216"
"401","aedes aegypti",0,"2020-26-201"
"402","aedes aegypti",0,"2020-26-202"
"403","aedes aegypti",0,"2020-26-203"
"404","aedes aegypti",0,"2020-26-204"
"405","aedes aegypti",0,"2020-26-205"
"406","aedes aegypti",0,"2020-26-206"
"407","aedes aegypti",0,"2020-26-207"
"408","aedes aegypti",0,"2020-26-208"
"409","aedes aegypti",0,"2020-26-209"
"410","aedes aegypti",0,"2020-26-210"
"411","aedes aegypti",0,"2020-26-211"
"412","aedes aegypti",0,"2020-26-212"
"413","aedes aegypti",0,"2020-26-213"
"414","aedes aegypti",0,"2020-26-214"
"415","aedes aegypti",0,"2020-26-215"
"416","aedes aegypti",0,"2020-26-216"
"417","aedes aegypti",0,"2020-27-201"
"418","aedes aegypti",0,"2020-27-202"
"419","aedes aegypti",0,"2020-27-203"
"420","aedes aegypti",0,"2020-27-204"
"421","aedes aegypti",0,"2020-27-205"
"422","aedes aegypti",0,"2020-27-206"
"423","aedes aegypti",0,"2020-27-207"
"424","aedes aegypti",0,"2020-27-208"
"425","aedes aegypti",0,"2020-27-209"
"426","aedes aegypti",0,"2020-27-210"
"427","aedes aegypti",0,"2020-27-211"
"428","aedes aegypti",0,"2020-27-212"
"429","aedes aegypti",0,"2020-27-213"
"430","aedes aegypti",0,"2020-27-214"
"431","aedes aegypti",0,"2020-27-215"
"432","aedes aegypti",0,"2020-27-216"
"433","aedes aegypti",0,"2020-28-201"
"434","aedes aegypti",0,"2020-28-202"
"435","aedes aegypti",0,"2020-28-203"
"436","aedes aegypti",0,"2020-28-204"
"437","aedes aegypti",0,"2020-28-205"
"438","aedes aegypti",0,"2020-28-206"
"439","aedes aegypti",0,"2020-28-207"
"440","aedes aegypti",0,"2020-28-208"
"441","aedes aegypti",0,"2020-28-209"
"442","aedes aegypti",0,"2020-28-210"
"443","aedes aegypti",0,"2020-28-211"
"444","aedes aegypti",0,"2020-28-212"
"445","aedes aegypti",0,"2020-28-213"
"446","aedes aegypti",0,"2020-28-214"
"447","aedes aegypti",0,"2020-28-215"
"448","aedes aegypti",0,"2020-28-216"
"449","aedes aegypti",0,"2020-29-201"
"450","aedes aegypti",0,"2020-29-202"
"451","aedes aegypti",0,"2020-29-203"
"452","aedes aegypti",0,"2020-29-204"
"453","aedes aegypti",0,"2020-29-205"
"454","aedes aegypti",0,"2020-29-206"
"455","aedes aegypti",0,"2020-29-207"
"456","aedes aegypti",0,"2020-29-208"
"457","aedes aegypti",0,"2020-29-209"
"458","aedes aegypti",0,"2020-29-210"
"459","aedes aegypti",0,"2020-29-211"
"460","aedes aegypti",0,"2020-29-212"
"461","aedes aegypti",0,"2020-29-213"
"462","aedes aegypti",0,"2020-29-214"
"463","aedes aegypti",0,"2020-29-215"
"464","aedes aegypti",0,"2020-29-216"
"465","aedes aegypti",0,"2020-30-201"
"466","aedes aegypti",0,"2020-30-202"
"467","aedes aegypti",0,"2020-30-203"
"468","aedes aegypti",0,"2020-30-204"
"469","aedes aegypti",0,"2020-30-205"
"470","aedes aegypti",0,"2020-30-206"
"471","aedes aegypti",0,"2020-30-207"
"472","aedes aegypti",0,"2020-30-208"
"473","aedes aegypti",0,"2020-30-209"
"474","aedes aegypti",0,"2020-30-210"
"475","aedes aegypti",0,"2020-30-211"
"476","aedes aegypti",0,"2020-30-212"
"477","aedes aegypti",0,"2020-30-213"
"478","aedes aegypti",0,"2020-30-214"
"479","aedes aegypti",0,"2020-30-215"
"480","aedes aegypti",0,"2020-30-216"
"481","aedes aegypti",0,"2020-31-201"
"482","aedes aegypti",0,"2020-31-202"
"483","aedes aegypti",0,"2020-31-203"
"484","aedes aegypti",0,"2020-31-204"
"485","aedes aegypti",0,"2020-31-205"
"486","aedes aegypti",0,"2020-31-206"
"487","aedes aegypti",0,"2020-31-207"
"488","aedes aegypti",0,"2020-31-208"
"489","aedes aegypti",0,"2020-31-209"
"490","aedes aegypti",0,"2020-31-210"
"491","aedes aegypti",0,"2020-31-211"
"492","aedes aegypti",0,"2020-31-212"
"493","aedes aegypti",0,"2020-31-213"
"494","aedes aegypti",0,"2020-31-214"
"495","aedes aegypti",0,"2020-31-215"
"496","aedes aegypti",0,"2020-31-216"
"497","aedes aegypti",0,"2020-32-201"
"498","aedes aegypti",0,"2020-32-202"
"499","aedes aegypti",0,"2020-32-203"
"500","aedes aegypti",0,"2020-32-204"
"501","aedes aegypti",0,"2020-32-205"
"502","aedes aegypti",0,"2020-32-206"
"503","aedes aegypti",0,"2020-32-207"
"504","aedes aegypti",0,"2020-32-208"
"505","aedes aegypti",0,"2020-32-209"
"506","aedes aegypti",0,"2020-32-210"
"507","aedes aegypti",0,"2020-32-211"
"508","aedes aegypti",0,"2020-32-212"
"509","aedes aegypti",0,"2020-32-213"
"510","aedes aegypti",0,"2020-32-214"
"511","aedes aegypti",0,"2020-32-215"
"512","aedes aegypti",0,"2020-32-216"
"513","aedes aegypti",0,"2020-33-201"
"514","aedes aegypti",0,"2020-33-202"
"515","aedes aegypti",0,"2020-33-203"
"516","aedes aegypti",0,"2020-33-204"
"517","aedes aegypti",0,"2020-33-205"
"518","aedes aegypti",0,"2020-33-206"
"519","aedes aegypti",0,"2020-33-207"
"520","aedes aegypti",0,"2020-33-208"
"521","aedes aegypti",0,"2020-33-209"
"522","aedes aegypti",0,"2020-33-210"
"523","aedes aegypti",0,"2020-33-211"
"524","aedes aegypti",0,"2020-33-212"
"525","aedes aegypti",0,"2020-33-213"
"526","aedes aegypti",0,"2020-33-214"
"527","aedes aegypti",0,"2020-33-215"
"528","aedes aegypti",0,"2020-33-216"
"529","aedes aegypti",0,"2020-34-201"
"530","aedes aegypti",0,"2020-34-202"
"531","aedes aegypti",0,"2020-34-203"
"532","aedes aegypti",0,"2020-34-204"
"533","aedes aegypti",0,"2020-34-205"
"534","aedes aegypti",0,"2020-34-206"
"535","aedes aegypti",0,"2020-34-207"
"536","aedes aegypti",0,"2020-34-208"
"537","aedes aegypti",0,"2020-34-209"
"538","aedes aegypti",0,"2020-34-210"
"539","aedes aegypti",0,"2020-34-211"
"540","aedes aegypti",0,"2020-34-212"
"541","aedes aegypti",0,"2020-34-213"
"542","aedes aegypti",0,"2020-34-214"
"543","aedes aegypti",0,"2020-34-215"
"544","aedes aegypti",0,"2020-34-216"
"545","aedes aegypti",0,"2020-35-201"
"546","aedes aegypti",0,"2020-35-202"
"547","aedes aegypti",0,"2020-35-203"
"548","aedes aegypti",0,"2020-35-204"
"549","aedes aegypti",0,"2020-35-205"
"550","aedes aegypti",0,"2020-35-206"
"551","aedes aegypti",0,"2020-35-207"
"552","aedes aegypti",0,"2020-35-208"
"553","aedes aegypti",0,"2020-35-209"
"554","aedes aegypti",0,"2020-35-210"
"555","aedes aegypti",0,"2020-35-211"
"556","aedes aegypti",0,"2020-35-212"
"557","aedes aegypti",0,"2020-35-213"
"558","aedes aegypti",0,"2020-35-214"
"559","aedes aegypti",0,"2020-35-215"
"560","aedes aegypti",0,"2020-35-216"
"561","aedes aegypti",0,"2020-36-201"
"562","aedes aegypti",0,"2020-36-202"
"563","aedes aegypti",0,"2020-36-203"
"564","aedes aegypti",0,"2020-36-204"
"565","aedes aegypti",0,"2020-36-205"
"566","aedes aegypti",0,"2020-36-206"
"567","aedes aegypti",0,"2020-36-207"
"568","aedes aegypti",0,"2020-36-208"
"569","aedes aegypti",0,"2020-36-209"
"570","aedes aegypti",0,"2020-36-210"
"571","aedes aegypti",0,"2020-36-211"
"572","aedes aegypti",0,"2020-36-212"
"573","aedes aegypti",0,"2020-36-213"
"574","aedes aegypti",0,"2020-36-214"
"575","aedes aegypti",0,"2020-36-215"
"576","aedes aegypti",0,"2020-36-216"
"577","aedes aegypti",0,"2020-37-201"
"578","aedes aegypti",0,"2020-37-202"
"579","aedes aegypti",0,"2020-37-203"
"580","aedes aegypti",0,"2020-37-204"
"581","aedes aegypti",0,"2020-37-205"
"582","aedes aegypti",0,"2020-37-206"
"583","aedes aegypti",0,"2020-37-207"
"584","aedes aegypti",0,"2020-37-208"
"585","aedes aegypti",0,"2020-37-209"
"586","aedes aegypti",0,"2020-37-210"
"587","aedes aegypti",0,"2020-37-211"
"588","aedes aegypti",0,"2020-37-212"
"589","aedes aegypti",0,"2020-37-213"
