casos,week-canton,relative_risk,classi_rr,urb,tmax_min,tmax_max,tmax_mean,tmax_median,tmin_min,tmin_max,tmin_mean,tmin_median,precip_total,precip_min,precip_max,precip_mean,precip_median
0,2024-23-509,0.0,Bajo,0,30.187332,35.40197,33.0225174571429,32.933037,30.187332,35.40197,33.0225174571429,32.933037,421.2139071,0.0,32.838234,12.03468306,12.260357
1,2024-23-206,0.1620208785779366,Medio,1,27.502153,28.534676,27.8362085714286,27.759981,27.502153,28.534676,27.8362085714286,27.759981,94.219179,0.0,30.036077,13.4598827142857,10.244107
6,2024-23-502,0.8298669756397206,Alto,0,29.086967,36.08213,32.5774961190476,32.5956675,29.086967,36.08213,32.5774961190476,32.5956675,1192.3883156,0.0,39.24579,14.1950989952381,13.5600935
0,2024-23-307,0.0,Bajo,1,25.930717,27.541145,26.5419014285714,26.17596,25.930717,27.541145,26.5419014285714,26.17596,83.881249,0.0,25.653246,11.9830355714286,10.261299
6,2024-23-209,1.957406994145915,Alto,2,32.793144,33.926334,33.2230615714286,33.116917,32.793144,33.926334,33.2230615714286,33.116917,84.9707342,2.7370822,23.512642,12.1386763142857,10.948329
106,2024-23-605,28.949296201504467,Alto,2,31.334394,35.345135,32.8198941809524,32.719677,31.334394,35.345135,32.8198941809524,32.719677,1969.5340903,0.0,55.33426,18.7574675266667,16.461832
2,2024-23-302,0.2636569710438855,Medio,2,20.162548,27.60524,23.3519428928571,23.076124,20.162548,27.60524,23.3519428928571,23.076124,478.8240692,4.9709845,50.6929,17.1008596142857,14.603358
0,2024-23-609,0.0,Bajo,2,31.839972,35.70975,33.5771093333333,33.657303,31.839972,35.70975,33.5771093333333,33.657303,179.274425,0.0,26.777842,8.53687738095238,9.862162
9,2024-23-702,0.4731256266375581,Medio,0,25.579004,34.470306,32.3633438857143,32.83911,25.579004,34.470306,32.3633438857143,32.83911,1464.9270952,0.0,41.399952,10.4637649657143,10.0590225
14,2024-23-601,0.7959171944775957,Alto,2,,,,,,,,,1175.4073925,0.0,34.98573,10.4947088616071,8.86659575
3,2024-23-104,0.6224909917811785,Alto,2,27.319822,34.7274,30.6650546285714,30.554274,27.319822,34.7274,30.6650546285714,30.554274,418.7703819,0.0,33.721783,11.9648680542857,11.479445
2,2024-23-119,0.1198865405580668,Medio,2,22.409523,33.85675,27.810430255102,28.483643,22.409523,33.85675,27.810430255102,28.483643,1434.1824938,0.0,48.767487,14.6345152428571,13.072449
5,2024-23-606,1.176528017851838,Alto,2,30.138868,35.756615,33.4166366428571,33.70889,30.138868,35.756615,33.4166366428571,33.70889,461.3385075,0.0,43.29256,10.9842501785714,10.533179
14,2024-23-216,6.455673378058856,Alto,0,26.870802,33.27251,30.5398149047619,31.555326,26.870802,33.27251,30.5398149047619,31.555326,362.107032,0.0,41.912815,17.243192,18.644787
32,2024-23-210,1.2440393803537202,Alto,2,25.090834,34.037224,32.1223756318681,32.6684075,25.090834,34.037224,32.1223756318681,32.6684075,2408.4284339,0.0,40.227886,13.2331232631868,13.30433
0,2024-23-204,0.0,Bajo,2,30.128334,31.191656,30.5012332857143,30.456806,30.128334,31.191656,30.5012332857143,30.456806,119.6037215,4.221878,38.69247,17.0862459285714,12.8974905
0,2024-23-409,0.0,Bajo,1,26.84719,28.450161,27.593341,27.44927,26.84719,28.450161,27.593341,27.44927,89.97266,4.461724,27.139435,12.8532371428571,13.385171
1,2024-23-202,0.0882865519172269,Medio,2,26.036121,31.567049,28.36923425,28.064651,26.036121,31.567049,28.36923425,28.064651,844.1376356,0.0,41.7941,15.07388635,13.86178
22,2024-23-109,2.9044694774552027,Alto,1,26.698324,28.135254,27.3821178571429,27.344492,26.698324,28.135254,27.3821178571429,27.344492,100.2013908,0.0,46.92247,14.3144844,10.2649355
6,2024-23-503,0.677866847821812,Alto,0,,,,,,,,,,,,,
3,2024-23-410,0.261402121396045,Medio,0,26.174435,33.70348,31.8940940672269,32.585373,26.174435,33.70348,31.8940940672269,32.585373,1685.4435677,0.0,61.027046,14.1633913252101,14.678504
0,2024-23-212,0.0,Bajo,2,24.530798,25.77449,25.0691131428571,24.926514,24.530798,25.77449,25.0691131428571,24.926514,125.607348,3.557843,41.456615,17.9439068571429,14.231372
5,2024-23-703,0.7054362485249461,Alto,0,28.447264,33.937534,31.2632982142857,31.213048,28.447264,33.937534,31.2632982142857,31.213048,636.6574761,0.0,41.013844,11.3688835017857,12.3287935
2,2024-23-704,0.359329883540137,Medio,0,19.712582,34.301502,26.1903407515528,25.953968,19.712582,34.301502,26.1903407515528,25.953968,1722.4931416,0.0,36.19799,10.6987151652174,10.354547
0,2024-23-105,0.0,Bajo,2,24.627125,31.792187,28.3272411071429,28.661235,24.627125,31.792187,28.3272411071429,28.661235,353.7404511,0.0,41.92414,12.6335875392857,14.0241925
0,2024-23-508,0.0,Bajo,0,26.69142,32.238422,29.8853464693878,29.861544,26.69142,32.238422,29.8853464693878,29.861544,804.4893636,0.0,39.762787,16.418150277551,16.499468
45,2024-23-305,5.228683933755565,Alto,2,19.492725,30.434021,25.3274420549451,26.024696,19.492725,30.434021,25.3274420549451,26.024696,1244.3988316,0.0,34.67044,13.6747124351648,14.360856
0,2024-23-116,0.0,Bajo,0,30.835169,35.06784,32.6486921785714,32.649425,30.835169,35.06784,32.6486921785714,32.649425,331.1232017,0.0,24.47958,11.8258286321429,10.312385
1,2024-23-213,0.1439844924827816,Medio,2,27.191013,34.391766,31.3571755918367,31.8635775,27.191013,34.391766,31.3571755918367,31.8635775,1704.8693515,0.0,49.615337,17.3966260357143,15.630284
0,2024-23-111,0.0,Bajo,1,22.414564,27.646185,24.8238117857143,24.9536225,22.414564,27.646185,24.8238117857143,24.9536225,165.4174277,0.0,29.363653,11.81553055,10.2359505
0,2024-23-211,0.0,Bajo,2,26.070297,27.266699,26.5625774285714,26.359413,26.070297,27.266699,26.5625774285714,26.359413,95.9690425,0.0,21.860569,13.7098632142857,13.77254
1,2025-23-507,6.262542389822042,Alto,0,29.950434,33.917686,32.4030483095238,32.5708325,29.950434,33.917686,32.4030483095238,32.5708325,926.1640586,0.0,53.29991,22.0515252047619,19.967972
0,2025-23-112,0.0,Bajo,2,27.60275,31.601688,29.2230875714286,28.505377,27.60275,31.601688,29.2230875714286,28.505377,576.4670004,0.0,56.632294,27.4508095428571,25.86765
