"","group","busquedas","week_canton"
"439","employment",42,"2020-2-409"
"440","employment",42,"2020-2-410"
"441","employment",0,"2020-2-501"
"442","employment",0,"2020-2-502"
"443","employment",0,"2020-2-503"
"444","employment",0,"2020-2-504"
"445","employment",0,"2020-2-505"
"446","employment",0,"2020-2-506"
"447","employment",0,"2020-2-507"
"448","employment",0,"2020-2-508"
"449","employment",0,"2020-2-509"
"450","employment",0,"2020-2-510"
"451","employment",0,"2020-2-511"
"452","employment",0,"2020-2-601"
"453","employment",0,"2020-2-602"
"454","employment",0,"2020-2-603"
"455","employment",0,"2020-2-604"
"456","employment",0,"2020-2-605"
"457","employment",0,"2020-2-606"
"458","employment",0,"2020-2-607"
"459","employment",0,"2020-2-608"
"460","employment",0,"2020-2-609"
"461","employment",0,"2020-2-610"
"462","employment",0,"2020-2-611"
"463","employment",107.9,"2020-2-701"
"464","employment",107.9,"2020-2-702"
"465","employment",107.9,"2020-2-703"
"466","employment",107.9,"2020-2-704"
"467","employment",107.9,"2020-2-705"
"468","employment",107.9,"2020-2-706"
"469","mobility_finance",0,"2020-2-101"
"470","mobility_finance",0,"2020-2-102"
"471","mobility_finance",0,"2020-2-103"
"472","mobility_finance",0,"2020-2-104"
"473","mobility_finance",0,"2020-2-105"
"474","mobility_finance",0,"2020-2-106"
"475","mobility_finance",0,"2020-2-107"
"476","mobility_finance",0,"2020-2-108"
"477","mobility_finance",0,"2020-2-109"
"478","mobility_finance",0,"2020-2-110"
"479","mobility_finance",0,"2020-2-111"
"480","mobility_finance",0,"2020-2-112"
"481","mobility_finance",0,"2020-2-113"
"482","mobility_finance",0,"2020-2-114"
"483","mobility_finance",0,"2020-2-115"
"484","mobility_finance",0,"2020-2-116"
"485","mobility_finance",0,"2020-2-117"
"486","mobility_finance",0,"2020-2-118"
"487","mobility_finance",0,"2020-2-119"
"488","mobility_finance",0,"2020-2-120"
"489","mobility_finance",0,"2020-2-201"
"490","mobility_finance",0,"2020-2-202"
"491","mobility_finance",0,"2020-2-203"
"492","mobility_finance",0,"2020-2-204"
"493","mobility_finance",0,"2020-2-205"
"494","mobility_finance",0,"2020-2-206"
"495","mobility_finance",0,"2020-2-207"
"496","mobility_finance",0,"2020-2-208"
"497","mobility_finance",0,"2020-2-209"
"498","mobility_finance",0,"2020-2-210"
"499","mobility_finance",0,"2020-2-211"
"500","mobility_finance",0,"2020-2-212"
"501","mobility_finance",0,"2020-2-213"
"502","mobility_finance",0,"2020-2-214"
"503","mobility_finance",0,"2020-2-215"
"504","mobility_finance",0,"2020-2-216"
"505","mobility_finance",0,"2020-2-401"
"506","mobility_finance",0,"2020-2-402"
"507","mobility_finance",0,"2020-2-403"
"508","mobility_finance",0,"2020-2-404"
"509","mobility_finance",0,"2020-2-405"
"510","mobility_finance",0,"2020-2-406"
"511","mobility_finance",0,"2020-2-407"
"512","mobility_finance",0,"2020-2-408"
"513","mobility_finance",0,"2020-2-409"
"514","mobility_finance",0,"2020-2-410"
"515","mobility_finance",0,"2020-2-501"
"516","mobility_finance",0,"2020-2-502"
"517","mobility_finance",0,"2020-2-503"
"518","mobility_finance",0,"2020-2-504"
"519","mobility_finance",0,"2020-2-505"
"520","mobility_finance",0,"2020-2-506"
"521","mobility_finance",0,"2020-2-507"
"522","mobility_finance",0,"2020-2-508"
"523","mobility_finance",0,"2020-2-509"
"524","mobility_finance",0,"2020-2-510"
"525","mobility_finance",0,"2020-2-511"
"526","mobility_finance",0,"2020-2-601"
"527","mobility_finance",0,"2020-2-602"
"528","mobility_finance",0,"2020-2-603"
"529","mobility_finance",0,"2020-2-604"
"530","mobility_finance",0,"2020-2-605"
"531","mobility_finance",0,"2020-2-606"
"532","mobility_finance",0,"2020-2-607"
"533","mobility_finance",0,"2020-2-608"
"534","mobility_finance",0,"2020-2-609"
"535","mobility_finance",0,"2020-2-610"
"536","mobility_finance",0,"2020-2-611"
"537","mobility_finance",0,"2020-2-701"
"538","mobility_finance",0,"2020-2-702"
"539","mobility_finance",0,"2020-2-703"
"540","mobility_finance",0,"2020-2-704"
"541","mobility_finance",0,"2020-2-705"
