"","week_canton","ndvi"
"186","2020-3-307",0.546867652557205
"187","2020-3-302",0.833383896381305
"188","2020-3-305",0.84998872413842
"189","2020-3-507",0.710595338081255
"190","2020-3-504",0.607716335126705
"191","2020-3-506",0.584345963213665
"192","2020-3-505",0.475899817867137
"193","2020-3-511",0.664231377654966
"194","2020-3-510",0.834518225526409
"195","2020-3-501",0.434093445250118
"196","2020-3-509",0.740020618042615
"197","2020-3-502",0.679339613150165
"198","2020-3-503",0.603542593204948
"199","2020-3-508",0.227478521329424
"200","2020-3-402",0.721174343201817
"201","2020-3-407",0.409641291808423
"202","2020-3-408",0.405401239110923
"203","2020-3-401",0.674561937328863
"204","2020-3-406",0.734170078653904
"205","2020-3-409",0.430537004130263
"206","2020-3-405",0.784698491120063
"207","2020-3-404",0.761595336655156
"208","2020-3-403",0.676020177206839
"209","2020-3-410",0.730565564743619
"210","2020-3-706",0.881205993591235
"211","2020-3-701",0.910050768989516
"212","2020-3-705",0.398749073926001
"213","2020-3-702",0.692875227662115
"214","2020-3-703",0.443531333154341
"215","2020-3-704",0.902529226959073
"216","2020-3-603",0.851558271354648
"217","2020-3-610",0.932036660095786
"218","2020-3-608",0.796881095470354
"219","2020-3-602",0.782854701525535
"220","2020-3-611",0.878833466090088
"221","2020-3-607",-0.3
"222","2020-3-604",0.688174921600516
"223","2020-3-605",0.819193017432117
"224","2020-3-609",0.881684647076964
"225","2020-3-601",0.81352836910102
"226","2020-3-606",0.845255684400424
"227","2020-3-112",0.75620412249788
"228","2020-3-110",0.691056712164154
"229","2020-3-106",0.812693000596461
"230","2020-3-118",0.51802684537242
"231","2020-3-103",0.748172365539656
"232","2020-3-117",0.89596926951926
"233","2020-3-102",0.448616356949721
"234","2020-3-108",0.532459761780269
"235","2020-3-120",0.842796433190402
"236","2020-3-115",0.456507405582673
"237","2020-3-107",0.813825120695127
"238","2020-3-114",0.643568968956283
"239","2020-3-119",0.739631900739443
"240","2020-3-104",0.744538298636455
"241","2020-3-101",0.562848856837091
"242","2020-3-109",0.533241578135636
"243","2020-3-105",0.780051092767868
"244","2020-3-113",0.163139787858269
"245","2020-3-116",0.908972033793523
"246","2020-3-111",0.304417964830214
"247","2020-4-201",0.867042071332206
"248","2020-4-205",0.712777363782157
"249","2020-4-203",0.678753248183038
"250","2020-4-215",0.593801037017775
"251","2020-4-214",0.737027864105598
"252","2020-4-206",0.659437583537597
"253","2020-4-209",0.43169034531987
"254","2020-4-207",0.601490755974425
"255","2020-4-208",0.70045386493508
"256","2020-4-216",0.417531229529014
"257","2020-4-210",0.669133100189443
"258","2020-4-204",0.782335517840475
"259","2020-4-202",0.26296284118586
"260","2020-4-212",0.740582788653234
"261","2020-4-213",0.639084595645366
"262","2020-4-211",0.329437673908683
"263","2020-4-306",0.715345725430598
"264","2020-4-301",0.774612377679312
"265","2020-4-308",0.864444667278086
"266","2020-4-304",0.765277153359626
"267","2020-4-303",0.508759065992163
"268","2020-4-307",0.636078670161817
"269","2020-4-302",0.870636508981437
"270","2020-4-305",0.848119421607059
"271","2020-4-507",0.654200253631409
"272","2020-4-504",0.562614823246566
"273","2020-4-506",0.567985442186564
"274","2020-4-505",0.445742996762191
"275","2020-4-511",0.645237873297811
"276","2020-4-510",0.815861583528668
"277","2020-4-501",0.41288348864994
"278","2020-4-509",0.724780661713412
"279","2020-4-502",0.658980308011348
"280","2020-4-503",0.597909270072548
"281","2020-4-508",0.354256904225971
"282","2020-4-402",0.73012291653441
"283","2020-4-407",0.412727491781175
"284","2020-4-408",0.396581664915809
"285","2020-4-401",0.658418402577264
"286","2020-4-406",0.731598894038864
"287","2020-4-409",0.412717702698045
"288","2020-4-405",0.785229347878385
"289","2020-4-404",0.774283727641906
"290","2020-4-403",0.66971092058831
"291","2020-4-410",0.756493471545377
"292","2020-4-706",0.873996847217792
"293","2020-4-701",0.765621730502412
"294","2020-4-705",0.412227010617401
"295","2020-4-702",0.712626631875784
"296","2020-4-703",0.545027860625728
"297","2020-4-704",0.906526762411628
"298","2020-4-603",0.835931307817664
"299","2020-4-610",0.922419774210203
"300","2020-4-608",0.793022416400517
"301","2020-4-602",0.793503654423575
