urb,week_canton
2,2020-15-211
2,2020-15-212
2,2020-15-213
0,2020-15-214
0,2020-15-215
0,2020-15-216
1,2020-15-301
2,2020-15-302
1,2020-15-303
2,2020-15-304
2,2020-15-305
2,2020-15-306
1,2020-15-307
1,2020-15-308
1,2020-15-401
1,2020-15-402
1,2020-15-403
1,2020-15-404
1,2020-15-405
1,2020-15-406
1,2020-15-407
1,2020-15-408
1,2020-15-409
0,2020-15-410
2,2020-15-501
0,2020-15-502
0,2020-15-503
0,2020-15-504
2,2020-15-505
0,2020-15-506
0,2020-15-507
0,2020-15-508
0,2020-15-509
0,2020-15-510
2,2020-15-511
2,2020-15-601
2,2020-15-602
0,2020-15-603
2,2020-15-604
2,2020-15-605
2,2020-15-606
0,2020-15-607
2,2020-15-608
2,2020-15-609
2,2020-15-610
0,2020-15-611
0,2020-15-701
0,2020-15-702
0,2020-15-703
0,2020-15-704
0,2020-15-705
2,2020-15-706
1,2020-16-101
1,2020-16-102
1,2020-16-103
2,2020-16-104
2,2020-16-105
1,2020-16-106
2,2020-16-107
1,2020-16-108
1,2020-16-109
1,2020-16-110
1,2020-16-111
2,2020-16-112
1,2020-16-113
1,2020-16-114
1,2020-16-115
0,2020-16-116
0,2020-16-117
1,2020-16-118
2,2020-16-119
2,2020-16-120
1,2020-16-201
2,2020-16-202
1,2020-16-203
2,2020-16-204
1,2020-16-205
1,2020-16-206
1,2020-16-207
1,2020-16-208
2,2020-16-209
2,2020-16-210
2,2020-16-211
2,2020-16-212
2,2020-16-213
0,2020-16-214
0,2020-16-215
0,2020-16-216
1,2020-16-301
2,2020-16-302
1,2020-16-303
2,2020-16-304
2,2020-16-305
2,2020-16-306
1,2020-16-307
1,2020-16-308
1,2020-16-401
1,2020-16-402
1,2020-16-403
1,2020-16-404
1,2020-16-405
1,2020-16-406
1,2020-16-407
1,2020-16-408
1,2020-16-409
0,2020-16-410
2,2020-16-501
0,2020-16-502
0,2020-16-503
0,2020-16-504
2,2020-16-505
0,2020-16-506
0,2020-16-507
0,2020-16-508
0,2020-16-509
0,2020-16-510
2,2020-16-511
2,2020-16-601
2,2020-16-602
0,2020-16-603
2,2020-16-604
2,2020-16-605
2,2020-16-606
0,2020-16-607
2,2020-16-608
2,2020-16-609
2,2020-16-610
0,2020-16-611
0,2020-16-701
0,2020-16-702
0,2020-16-703
0,2020-16-704
0,2020-16-705
2,2020-16-706
1,2020-17-101
1,2020-17-102
1,2020-17-103
2,2020-17-104
2,2020-17-105
1,2020-17-106
2,2020-17-107
1,2020-17-108
1,2020-17-109
1,2020-17-110
1,2020-17-111
2,2020-17-112
1,2020-17-113
1,2020-17-114
1,2020-17-115
0,2020-17-116
0,2020-17-117
1,2020-17-118
2,2020-17-119
2,2020-17-120
1,2020-17-201
2,2020-17-202
1,2020-17-203
2,2020-17-204
1,2020-17-205
1,2020-17-206
1,2020-17-207
1,2020-17-208
2,2020-17-209
2,2020-17-210
2,2020-17-211
2,2020-17-212
2,2020-17-213
0,2020-17-214
0,2020-17-215
0,2020-17-216
1,2020-17-301
2,2020-17-302
1,2020-17-303
2,2020-17-304
2,2020-17-305
2,2020-17-306
1,2020-17-307
1,2020-17-308
1,2020-17-401
1,2020-17-402
1,2020-17-403
1,2020-17-404
1,2020-17-405
1,2020-17-406
1,2020-17-407
1,2020-17-408
1,2020-17-409
0,2020-17-410
2,2020-17-501
0,2020-17-502
0,2020-17-503
0,2020-17-504
2,2020-17-505
0,2020-17-506
0,2020-17-507
0,2020-17-508
0,2020-17-509
0,2020-17-510
2,2020-17-511
2,2020-17-601
2,2020-17-602
0,2020-17-603
2,2020-17-604
2,2020-17-605
2,2020-17-606
0,2020-17-607
2,2020-17-608
2,2020-17-609
2,2020-17-610
0,2020-17-611
0,2020-17-701
0,2020-17-702
0,2020-17-703
0,2020-17-704
0,2020-17-705
2,2020-17-706
1,2020-18-101
1,2020-18-102
1,2020-18-103
2,2020-18-104
2,2020-18-105
1,2020-18-106
2,2020-18-107
1,2020-18-108
1,2020-18-109
1,2020-18-110
1,2020-18-111
2,2020-18-112
1,2020-18-113
1,2020-18-114
1,2020-18-115
0,2020-18-116
0,2020-18-117
1,2020-18-118
2,2020-18-119
2,2020-18-120
1,2020-18-201
2,2020-18-202
1,2020-18-203
2,2020-18-204
1,2020-18-205
1,2020-18-206
1,2020-18-207
1,2020-18-208
2,2020-18-209
2,2020-18-210
2,2020-18-211
2,2020-18-212
2,2020-18-213
0,2020-18-214
0,2020-18-215
0,2020-18-216
1,2020-18-301
2,2020-18-302
1,2020-18-303
2,2020-18-304
2,2020-18-305
2,2020-18-306
1,2020-18-307
1,2020-18-308
1,2020-18-401
1,2020-18-402
1,2020-18-403
1,2020-18-404
1,2020-18-405
1,2020-18-406
1,2020-18-407
1,2020-18-408
1,2020-18-409
0,2020-18-410
2,2020-18-501
0,2020-18-502
0,2020-18-503
0,2020-18-504
2,2020-18-505
0,2020-18-506
0,2020-18-507
0,2020-18-508
0,2020-18-509
0,2020-18-510
