"","canton","tmin_min","tmin_max","tmin_mean","tmin_median","week"
"312","Quepos",27.608862,33.99249,31.954886,32.544468,"2024-1"
"313","Río Cuarto",25.033669,32.911564,29.3969422962963,30.230785,"2024-1"
"314","San Carlos",22.986061,33.840797,30.938708025641,31.3327795,"2024-1"
"315","San Mateo",26.342745,29.498808,28.6297568888889,29.320728,"2024-1"
"316","San Pablo",23.795914,27.113956,26.0271064444444,26.105822,"2024-1"
"317","San Ramón",23.037449,30.317585,26.7763270555556,26.6510925,"2024-1"
"318","Santa Ana",23.241245,27.00605,25.853058,26.365896,"2024-1"
"319","Santa Cruz",NA,NA,NA,NA,"2024-1"
"320","Sarapiquí",24.100542,33.385784,30.830238,31.447132,"2024-1"
"321","Sarchí",22.068745,24.723366,23.6202841111111,23.728384,"2024-1"
"322","Siquirres",26.268145,33.071056,29.8889494027778,29.927429,"2024-1"
"323","Talamanca",16.472872,34.007706,24.5860278647343,24.34764,"2024-1"
"324","Tarrazú",21.3154,29.934229,26.5910104444444,27.1414515,"2024-1"
"325","Tilarán",23.609945,32.40171,28.8319761746032,29.043736,"2024-1"
"326","Turrialba",16.193573,28.26469,23.3838828632479,24.041035,"2024-1"
"327","Turrubares",27.61502,33.524967,30.8781000833333,30.9297545,"2024-1"
"328","Upala",24.825956,34.62203,30.2190407619048,30.5545815,"2024-1"
"329","Vázquez de Coronado",19.374224,25.829315,22.9551035,22.4051795,"2024-1"
"330","Zarcero",23.419765,26.3275,25.2219792222222,25.32395,"2024-1"
"331","Abangares",28.810158,32.47898,31.2302399166667,31.490543,"2025-1"
"332","Acosta",27.007156,31.264544,28.5600825833333,27.720052,"2025-1"
"333","Alajuela",20.15392,28.768164,25.2544953125,25.847017,"2025-1"
"334","Alajuelita",22.564318,23.799274,23.16183175,23.1418675,"2025-1"
"335","Alvarado",23.06753,24.150013,23.6309,23.6530285,"2025-1"
"336","Aserrí",24.751486,25.87072,25.21980925,25.1285155,"2025-1"
"337","Atenas",26.22418,27.48716,26.79608,26.73649,"2025-1"
"338","Bagaces",27.800983,32.94203,31.2793421,31.87436,"2025-1"
"339","Barva",22.446968,23.870579,23.271155,23.3835365,"2025-1"
"340","Buenos Aires",21.925177,29.66595,26.7914465789474,26.8174465,"2025-1"
"341","Carrillo",NA,NA,NA,NA,"2025-1"
"342","Cartago",22.619606,24.03538,23.30333775,23.2201225,"2025-1"
"343","Cañas",30.862198,32.71406,31.97511475,32.097415,"2025-1"
"344","Corredores",28.619284,33.144196,31.47057445,31.935451,"2025-1"
"345","Coto Brus",20.955297,26.989405,24.59029075,24.5635735,"2025-1"
"346","Dota",19.095757,27.728884,22.6761001666667,21.135979,"2025-1"
"347","El Guarco",20.376774,23.590158,21.871415,21.9080545,"2025-1"
"348","Esparza",30.134932,31.895496,31.0987845,31.244796,"2025-1"
"349","Garabito",30.48812,32.17567,31.4174965833333,31.571218,"2025-1"
"350","Golfito",30.316202,33.837025,32.10690835,32.2263395,"2025-1"
"351","Grecia",25.486652,27.086197,26.365259,26.4440935,"2025-1"
"352","Guatuso",27.3719,32.49392,30.3609612142857,30.938667,"2025-1"
"353","Guácimo",22.113115,32.43516,29.14848065,30.2409805,"2025-1"
"354","Heredia",21.307627,23.954199,22.863959625,22.807321,"2025-1"
"355","Hojancha",30.36207,30.52937,30.46937625,30.4930325,"2025-1"
"356","Jiménez",25.107092,26.107103,25.62635525,25.645613,"2025-1"
"357","La Cruz",NA,NA,NA,NA,"2025-1"
"358","La Unión",23.618416,24.740173,24.1758585,24.1724225,"2025-1"
