"","temp_prom","week_canton"
"534",24.9496141428572,"2024-14-112"
"535",26.050526,"2024-15-112"
"536",25.1662912857143,"2024-16-112"
"537",25.4388256428572,"2024-17-112"
"538",25.1063875714286,"2024-18-112"
"539",25.5257406428572,"2024-19-112"
"540",25.4111427857143,"2024-20-112"
"541",25.422991,"2024-21-112"
"542",25.3729212857143,"2024-22-112"
"543",24.8382182857143,"2024-23-112"
"544",24.2890205714286,"2024-24-112"
"545",24.5030264285714,"2024-25-112"
"546",24.1137942857143,"2024-26-112"
"547",24.2899915714286,"2024-27-112"
"548",24.8196785714286,"2024-28-112"
"549",24.9768790714286,"2024-29-112"
"550",24.7240456428572,"2024-30-112"
"551",24.7541977857143,"2024-31-112"
"552",24.6167989285714,"2024-32-112"
"553",24.5865266428572,"2024-33-112"
"554",24.4820053571428,"2024-34-112"
"555",24.5891403571429,"2024-35-112"
"556",24.5045846428571,"2024-36-112"
"557",24.7971526428572,"2024-37-112"
"558",24.5309655,"2024-38-112"
"559",23.8534831428571,"2024-39-112"
"560",23.8584979285714,"2024-40-112"
"561",23.7511598571429,"2024-41-112"
"562",24.0894668571429,"2024-42-112"
"563",24.1687243571429,"2024-43-112"
"564",23.7631648571428,"2024-44-112"
"565",22.7531797857143,"2024-45-112"
"566",21.9981057857143,"2024-46-112"
"567",22.6731145,"2024-47-112"
"568",23.2540509285714,"2024-48-112"
"569",23.2598286428571,"2024-49-112"
"570",23.2281895714286,"2024-50-112"
"571",22.8381891428571,"2024-51-112"
"572",22.7336243571428,"2024-52-112"
"573",22.9881979285714,"2025-1-112"
"574",23.4552495,"2025-2-112"
"575",23.1567644285714,"2025-3-112"
"576",23.2324417857143,"2025-4-112"
"577",23.7960976428571,"2025-5-112"
"578",24.1155508571429,"2025-6-112"
"579",24.1335074285714,"2025-7-112"
"580",24.1277027142857,"2025-8-112"
"581",24.4293448571429,"2025-9-112"
"582",24.4398725714286,"2025-10-112"
"583",24.5811732857143,"2025-11-112"
"584",24.9052514285714,"2025-12-112"
"585",24.9725485714286,"2025-13-112"
"586",24.9994340714286,"2025-14-112"
"587",25.0412947142857,"2025-15-112"
"588",25.5489880714286,"2025-16-112"
"589",24.9628942857143,"2025-17-112"
"590",24.9579724285714,"2025-18-112"
"591",24.907714,"2025-19-112"
"592",24.8350696428572,"2025-20-112"
"593",24.8482319285714,"2025-21-112"
"594",24.8576970714286,"2025-22-112"
"595",24.3865632857143,"2025-23-112"
"596",24.1247032142857,"2025-24-112"
"597",24.4545101428572,"2025-25-112"
"598",24.1719247857143,"2025-26-112"
"599",24.2362600714286,"2025-27-112"
"600",24.5495657142857,"2025-28-112"
"601",25.4218837857143,"2025-29-112"
"602",24.6406286428572,"2025-30-112"
"603",24.8515200714286,"2025-31-112"
"604",24.1158155714286,"2025-32-112"
"605",24.1693714285714,"2025-33-112"
"606",24.1190787857143,"2025-34-112"
"607",24.4546912857143,"2025-35-112"
"608",24.0882058571428,"2025-36-112"
"609",24.6067602857143,"2025-37-112"
"610",23.9953499285714,"2025-38-112"
"611",24.4161446428572,"2025-39-112"
"612",23.6364145714286,"2025-40-112"
"613",23.1996065,"2025-41-112"
"614",23.3816806428571,"2025-42-112"
"615",23.8646999285714,"2025-43-112"
"616",23.4405287857143,"2025-44-112"
"617",23.332091,"2025-45-112"
"618",23.1818967857143,"2025-46-112"
"619",22.8597955714286,"2025-47-112"
"620",23.1673243571428,"2025-48-112"
"621",22.7391826428571,"2025-49-112"
"622",22.9642406428572,"2025-50-112"
"623",22.5877115,"2025-51-112"
"624",22.6271877857143,"2025-52-112"
"625",22.2017599,"2020-1-201"
"626",22.4317,"2020-2-201"
"627",22.8046392857143,"2020-3-201"
"628",21.8850446428571,"2020-4-201"
"629",22.4062873571429,"2020-5-201"
"630",22.6697515714286,"2020-6-201"
"631",22.9892465714286,"2020-7-201"
"632",23.1384612142857,"2020-8-201"
"633",23.1085360714286,"2020-9-201"
"634",23.2172492142857,"2020-10-201"
"635",23.4762702142857,"2020-11-201"
"636",23.304899,"2020-12-201"
"637",23.1648927142857,"2020-13-201"
"638",23.2042007142857,"2020-14-201"
"639",24.2105624285714,"2020-15-201"
"640",23.4034600714286,"2020-16-201"
