"","week","province","group","value"
"473","2020-22",6,"dengue_spread",0
"474","2020-22",6,"employment",0
"475","2020-22",6,"mobility_finance",0
"476","2020-22",6,"water",0
"477","2020-22",7,"dengue_spread",0
"478","2020-22",7,"employment",0
"479","2020-22",7,"mobility_finance",0
"480","2020-22",7,"water",0
"481","2020-23",0,"dengue_spread",3.44
"482","2020-23",0,"employment",39.29
"483","2020-23",0,"mobility_finance",6.19
"484","2020-23",0,"water",0
"485","2020-23",1,"dengue_spread",0
"486","2020-23",1,"employment",32.08
"487","2020-23",1,"mobility_finance",0
"488","2020-23",1,"water",0
"489","2020-23",2,"dengue_spread",0
"490","2020-23",2,"employment",26.06
"491","2020-23",2,"mobility_finance",0
"492","2020-23",2,"water",0
"493","2020-23",3,"dengue_spread",0
"494","2020-23",3,"employment",56.92
"495","2020-23",3,"mobility_finance",0
"496","2020-23",3,"water",0
"497","2020-23",4,"dengue_spread",0
"498","2020-23",4,"employment",37.75
"499","2020-23",4,"mobility_finance",0
"500","2020-23",4,"water",0
"501","2020-23",5,"dengue_spread",0
"502","2020-23",5,"employment",0
"503","2020-23",5,"mobility_finance",0
"504","2020-23",5,"water",0
"505","2020-23",6,"dengue_spread",0
"506","2020-23",6,"employment",0
"507","2020-23",6,"mobility_finance",0
"508","2020-23",6,"water",0
"509","2020-23",7,"dengue_spread",0
"510","2020-23",7,"employment",0
"511","2020-23",7,"mobility_finance",0
"512","2020-23",7,"water",0
"513","2020-24",0,"dengue_spread",5.38
"514","2020-24",0,"employment",29.01
"515","2020-24",0,"mobility_finance",0
"516","2020-24",0,"water",0
"517","2020-24",1,"dengue_spread",0
"518","2020-24",1,"employment",22.21
"519","2020-24",1,"mobility_finance",0
"520","2020-24",1,"water",0
"521","2020-24",2,"dengue_spread",0
"522","2020-24",2,"employment",0
"523","2020-24",2,"mobility_finance",0
"524","2020-24",2,"water",0
"525","2020-24",3,"dengue_spread",0
"526","2020-24",3,"employment",0
"527","2020-24",3,"mobility_finance",0
"528","2020-24",3,"water",0
"529","2020-24",4,"dengue_spread",0
"530","2020-24",4,"employment",36.33
"531","2020-24",4,"mobility_finance",0
"532","2020-24",4,"water",0
"533","2020-24",5,"dengue_spread",0
"534","2020-24",5,"employment",0
"535","2020-24",5,"mobility_finance",0
"536","2020-24",5,"water",0
"537","2020-24",6,"dengue_spread",0
"538","2020-24",6,"employment",0
"539","2020-24",6,"mobility_finance",0
"540","2020-24",6,"water",0
"541","2020-24",7,"dengue_spread",0
"542","2020-24",7,"employment",0
"543","2020-24",7,"mobility_finance",0
"544","2020-24",7,"water",0
"545","2020-25",0,"dengue_spread",6.02
"546","2020-25",0,"employment",37.47
"547","2020-25",0,"mobility_finance",12.37
"548","2020-25",0,"water",0
"549","2020-25",1,"dengue_spread",0
"550","2020-25",1,"employment",30.6
"551","2020-25",1,"mobility_finance",0
"552","2020-25",1,"water",0
"553","2020-25",2,"dengue_spread",0
"554","2020-25",2,"employment",0
"555","2020-25",2,"mobility_finance",0
"556","2020-25",2,"water",0
"557","2020-25",3,"dengue_spread",74
"558","2020-25",3,"employment",79.69
"559","2020-25",3,"mobility_finance",0
"560","2020-25",3,"water",0
"561","2020-25",4,"dengue_spread",0
"562","2020-25",4,"employment",0
"563","2020-25",4,"mobility_finance",0
"564","2020-25",4,"water",0
"565","2020-25",5,"dengue_spread",0
"566","2020-25",5,"employment",0
"567","2020-25",5,"mobility_finance",0
"568","2020-25",5,"water",0
"569","2020-25",6,"dengue_spread",45.26
"570","2020-25",6,"employment",0
"571","2020-25",6,"mobility_finance",0
"572","2020-25",6,"water",0
"573","2020-25",7,"dengue_spread",0
"574","2020-25",7,"employment",67.23
"575","2020-25",7,"mobility_finance",0
"576","2020-25",7,"water",0
"577","2020-26",0,"dengue_spread",4.95
"578","2020-26",0,"employment",30.82
"579","2020-26",0,"mobility_finance",15.47
"580","2020-26",0,"water",0
"581","2020-26",1,"dengue_spread",0
"582","2020-26",1,"employment",22.21
