"","keyword","value","province","week"
"385","aedes_aegypti",0,2,"2021-21"
"386","aedes_aegypti",0,2,"2021-22"
"387","aedes_aegypti",0,2,"2021-23"
"388","aedes_aegypti",0,2,"2021-24"
"389","aedes_aegypti",0,2,"2021-25"
"390","aedes_aegypti",0,2,"2021-26"
"391","aedes_aegypti",0,2,"2021-27"
"392","aedes_aegypti",0,2,"2021-28"
"393","aedes_aegypti",0,2,"2021-29"
"394","aedes_aegypti",0,2,"2021-30"
"395","aedes_aegypti",0,2,"2021-31"
"396","aedes_aegypti",0,2,"2021-32"
"397","aedes_aegypti",0,2,"2021-33"
"398","aedes_aegypti",0,2,"2021-34"
"399","aedes_aegypti",100,2,"2021-35"
"400","aedes_aegypti",0,2,"2021-36"
"401","aedes_aegypti",0,2,"2021-37"
"402","aedes_aegypti",0,2,"2021-38"
"403","aedes_aegypti",0,2,"2021-39"
"404","aedes_aegypti",0,2,"2021-40"
"405","aedes_aegypti",0,2,"2021-41"
"406","aedes_aegypti",0,2,"2021-42"
"407","aedes_aegypti",0,2,"2021-43"
"408","aedes_aegypti",0,2,"2021-44"
"409","aedes_aegypti",0,2,"2021-45"
"410","aedes_aegypti",0,2,"2021-46"
"411","aedes_aegypti",0,2,"2021-47"
"412","aedes_aegypti",0,2,"2021-48"
"413","aedes_aegypti",0,2,"2021-49"
"414","aedes_aegypti",0,2,"2021-50"
"415","aedes_aegypti",0,2,"2021-51"
"416","aedes_aegypti",0,2,"2021-52"
"417","aedes_aegypti",0,2,"2022-1"
"418","aedes_aegypti",0,2,"2022-2"
"419","aedes_aegypti",0,2,"2022-3"
"420","aedes_aegypti",0,2,"2022-4"
"421","aedes_aegypti",0,2,"2022-5"
"422","aedes_aegypti",0,2,"2022-6"
"423","aedes_aegypti",0,2,"2022-7"
"424","aedes_aegypti",0,2,"2022-8"
"425","aedes_aegypti",0,2,"2022-9"
"426","aedes_aegypti",0,2,"2022-10"
"427","aedes_aegypti",0,2,"2022-11"
"428","aedes_aegypti",0,2,"2022-12"
"429","aedes_aegypti",0,2,"2022-13"
"430","aedes_aegypti",0,2,"2022-14"
"431","aedes_aegypti",0,2,"2022-15"
"432","aedes_aegypti",0,2,"2022-16"
"433","aedes_aegypti",0,2,"2022-17"
"434","aedes_aegypti",0,2,"2022-18"
"435","aedes_aegypti",0,2,"2022-19"
"436","aedes_aegypti",0,2,"2022-20"
"437","aedes_aegypti",0,2,"2022-21"
"438","aedes_aegypti",0,2,"2022-22"
